,fnid,country,country_code,admin_1,admin_2,name,product,season_name,planting_year,planting_month,harvest_year,harvest_month,crop_production_system,indicator,value
0,AO2008A101,Angola,AO,Bengo,none,Bengo,Maize,Main,1996,10,1997,4,All (PS),area,11000.0
1,AO2008A101,Angola,AO,Bengo,none,Bengo,Maize,Main,1997,10,1998,4,All (PS),area,14000.0
2,AO2008A101,Angola,AO,Bengo,none,Bengo,Maize,Main,1998,10,1999,4,All (PS),area,9176.0
3,AO2008A101,Angola,AO,Bengo,none,Bengo,Maize,Main,1999,10,2000,4,All (PS),area,10002.0
4,AO2008A101,Angola,AO,Bengo,none,Bengo,Maize,Main,2000,10,2001,4,All (PS),area,6368.0
5,AO2008A101,Angola,AO,Bengo,none,Bengo,Maize,Main,2001,10,2002,4,All (PS),area,6191.0
6,AO2008A101,Angola,AO,Bengo,none,Bengo,Maize,Main,2002,10,2003,4,All (PS),area,7818.0
7,AO2008A101,Angola,AO,Bengo,none,Bengo,Maize,Main,2003,10,2004,4,All (PS),area,11390.0
8,AO2008A101,Angola,AO,Bengo,none,Bengo,Maize,Main,2004,10,2005,4,All (PS),area,7745.0
9,AO2008A101,Angola,AO,Bengo,none,Bengo,Maize,Main,2005,10,2006,4,All (PS),area,7813.0
10,AO2008A101,Angola,AO,Bengo,none,Bengo,Maize,Main,2006,10,2007,4,All (PS),area,7024.0
11,AO2008A101,Angola,AO,Bengo,none,Bengo,Maize,Main,2007,10,2008,4,All (PS),area,5277.0
12,AO2008A101,Angola,AO,Bengo,none,Bengo,Maize,Main,2008,10,2009,4,All (PS),area,3345.0
13,AO2008A101,Angola,AO,Bengo,none,Bengo,Maize,Main,2009,10,2010,4,All (PS),area,16068.0
14,AO2008A101,Angola,AO,Bengo,none,Bengo,Maize,Main,2010,10,2011,4,All (PS),area,18521.0
15,AO2008A101,Angola,AO,Bengo,none,Bengo,Maize,Main,2011,10,2012,4,All (PS),area,20433.0
16,AO2008A101,Angola,AO,Bengo,none,Bengo,Maize,Main,2012,10,2013,4,All (PS),area,20881.0
17,AO2008A101,Angola,AO,Bengo,none,Bengo,Maize,Main,2013,10,2014,4,All (PS),area,20923.0
18,AO2008A101,Angola,AO,Bengo,none,Bengo,Maize,Main,2014,10,2015,4,All (PS),area,49236.0
19,AO2008A101,Angola,AO,Bengo,none,Bengo,Maize,Main,2015,10,2016,4,All (PS),area,49236.0
20,AO2008A101,Angola,AO,Bengo,none,Bengo,Maize,Main,2016,10,2017,4,All (PS),area,59731.6
21,AO2008A101,Angola,AO,Bengo,none,Bengo,Chili Pepper,Main,2014,10,2015,4,All (PS),area,458.0
22,AO2008A101,Angola,AO,Bengo,none,Bengo,Chili Pepper,Main,2015,10,2016,4,All (PS),area,458.0
23,AO2008A101,Angola,AO,Bengo,none,Bengo,Chili Pepper,Main,2016,10,2017,4,All (PS),area,513.4
24,AO2008A101,Angola,AO,Bengo,none,Bengo,Sweet Potatoes,Main,2000,10,2001,4,All (PS),area,4245.0
25,AO2008A101,Angola,AO,Bengo,none,Bengo,Sweet Potatoes,Main,2001,10,2002,4,All (PS),area,4127.0
26,AO2008A101,Angola,AO,Bengo,none,Bengo,Sweet Potatoes,Main,2002,10,2003,4,All (PS),area,5212.0
27,AO2008A101,Angola,AO,Bengo,none,Bengo,Sweet Potatoes,Main,2003,10,2004,4,All (PS),area,5315.0
28,AO2008A101,Angola,AO,Bengo,none,Bengo,Sweet Potatoes,Main,2004,10,2005,4,All (PS),area,5421.0
29,AO2008A101,Angola,AO,Bengo,none,Bengo,Sweet Potatoes,Main,2005,10,2006,4,All (PS),area,5781.0
30,AO2008A101,Angola,AO,Bengo,none,Bengo,Sweet Potatoes,Main,2006,10,2007,4,All (PS),area,5117.0
31,AO2008A101,Angola,AO,Bengo,none,Bengo,Sweet Potatoes,Main,2007,10,2008,4,All (PS),area,4092.0
32,AO2008A101,Angola,AO,Bengo,none,Bengo,Sweet Potatoes,Main,2008,10,2009,4,All (PS),area,4103.0
33,AO2008A101,Angola,AO,Bengo,none,Bengo,Sweet Potatoes,Main,2009,10,2010,4,All (PS),area,11744.0
34,AO2008A101,Angola,AO,Bengo,none,Bengo,Sweet Potatoes,Main,2010,10,2011,4,All (PS),area,11793.0
35,AO2008A101,Angola,AO,Bengo,none,Bengo,Sweet Potatoes,Main,2011,10,2012,4,All (PS),area,11595.0
36,AO2008A101,Angola,AO,Bengo,none,Bengo,Sweet Potatoes,Main,2012,10,2013,4,All (PS),area,11709.0
37,AO2008A101,Angola,AO,Bengo,none,Bengo,Sweet Potatoes,Main,2013,10,2014,4,All (PS),area,12045.0
38,AO2008A101,Angola,AO,Bengo,none,Bengo,Sweet Potatoes,Main,2014,10,2015,4,All (PS),area,11577.0
39,AO2008A101,Angola,AO,Bengo,none,Bengo,Sweet Potatoes,Main,2015,10,2016,4,All (PS),area,11577.0
40,AO2008A101,Angola,AO,Bengo,none,Bengo,Sweet Potatoes,Main,2016,10,2017,4,All (PS),area,26520.8
41,AO2008A101,Angola,AO,Bengo,none,Bengo,Banana,Main,2007,10,2008,4,All (PS),area,1364.0
42,AO2008A101,Angola,AO,Bengo,none,Bengo,Banana,Main,2008,10,2009,4,All (PS),area,1547.0
43,AO2008A101,Angola,AO,Bengo,none,Bengo,Banana,Main,2014,10,2015,4,All (PS),area,11513.0
44,AO2008A101,Angola,AO,Bengo,none,Bengo,Banana,Main,2015,10,2016,4,All (PS),area,11513.0
45,AO2008A101,Angola,AO,Bengo,none,Bengo,Banana,Main,2016,10,2017,4,All (PS),area,12628.7
46,AO2008A101,Angola,AO,Bengo,none,Bengo,Tomato,Main,2014,10,2015,4,All (PS),area,876.0
47,AO2008A101,Angola,AO,Bengo,none,Bengo,Tomato,Main,2015,10,2016,4,All (PS),area,876.0
48,AO2008A101,Angola,AO,Bengo,none,Bengo,Tomato,Main,2016,10,2017,4,All (PS),area,1026.8
49,AO2008A101,Angola,AO,Bengo,none,Bengo,Onions,Main,2014,10,2015,4,All (PS),area,862.0
50,AO2008A101,Angola,AO,Bengo,none,Bengo,Onions,Main,2015,10,2016,4,All (PS),area,862.0
51,AO2008A101,Angola,AO,Bengo,none,Bengo,Onions,Main,2016,10,2017,4,All (PS),area,893.4
52,AO2008A101,Angola,AO,Bengo,none,Bengo,Mango,Main,2015,10,2016,4,All (PS),area,1082.0
53,AO2008A101,Angola,AO,Bengo,none,Bengo,Mango,Main,2016,10,2017,4,All (PS),area,849.1
54,AO2008A101,Angola,AO,Bengo,none,Bengo,Groundnuts (In Shell),Main,2005,10,2006,4,All (PS),area,3906.0
55,AO2008A101,Angola,AO,Bengo,none,Bengo,Groundnuts (In Shell),Main,2007,10,2008,4,All (PS),area,4092.0
56,AO2008A101,Angola,AO,Bengo,none,Bengo,Groundnuts (In Shell),Main,2008,10,2009,4,All (PS),area,2210.0
57,AO2008A101,Angola,AO,Bengo,none,Bengo,Groundnuts (In Shell),Main,2014,10,2015,4,All (PS),area,15743.0
58,AO2008A101,Angola,AO,Bengo,none,Bengo,Groundnuts (In Shell),Main,2015,10,2016,4,All (PS),area,15743.0
59,AO2008A101,Angola,AO,Bengo,none,Bengo,Groundnuts (In Shell),Main,2016,10,2017,4,All (PS),area,14079.0
60,AO2008A101,Angola,AO,Bengo,none,Bengo,Lemon,Main,2015,10,2016,4,All (PS),area,5392.0
61,AO2008A101,Angola,AO,Bengo,none,Bengo,Lemon,Main,2016,10,2017,4,All (PS),area,3902.0
62,AO2008A101,Angola,AO,Bengo,none,Bengo,Beans (mixed),Main,2005,10,2006,4,All (PS),area,9375.0
63,AO2008A101,Angola,AO,Bengo,none,Bengo,Beans (mixed),Main,2006,10,2007,4,All (PS),area,13335.0
