,fnid,country,country_code,admin_1,admin_2,name,product,season_name,planting_year,planting_month,harvest_year,harvest_month,crop_production_system,indicator,value
0,ET2014A20101,Ethiopia,ET,Tigray,Northwest Tigray,Northwest Tigray,Teff,Meher,1997,5,1998,1,none,area,35910.14129132838
1,ET2014A20101,Ethiopia,ET,Tigray,Northwest Tigray,Northwest Tigray,Teff,Meher,1998,5,1999,1,none,area,27342.881538532347
2,ET2014A20101,Ethiopia,ET,Tigray,Northwest Tigray,Northwest Tigray,Teff,Meher,1999,5,2000,1,none,area,29936.881916824863
3,ET2014A20101,Ethiopia,ET,Tigray,Northwest Tigray,Northwest Tigray,Teff,Meher,2000,5,2001,1,none,area,32151.487681965755
4,ET2014A20101,Ethiopia,ET,Tigray,Northwest Tigray,Northwest Tigray,Teff,Meher,2001,5,2002,1,none,area,26157.28219556405
5,ET2014A20101,Ethiopia,ET,Tigray,Northwest Tigray,Northwest Tigray,Teff,Meher,2003,5,2004,1,none,area,26826.0
6,ET2014A20101,Ethiopia,ET,Tigray,Northwest Tigray,Northwest Tigray,Teff,Meher,2004,5,2005,1,none,area,27309.0
7,ET2014A20101,Ethiopia,ET,Tigray,Northwest Tigray,Northwest Tigray,Teff,Meher,2005,5,2006,1,none,area,31962.65
8,ET2014A20101,Ethiopia,ET,Tigray,Northwest Tigray,Northwest Tigray,Teff,Meher,2006,5,2007,1,none,area,36757.42
9,ET2014A20101,Ethiopia,ET,Tigray,Northwest Tigray,Northwest Tigray,Teff,Meher,2007,5,2008,1,none,area,40033.08
10,ET2014A20101,Ethiopia,ET,Tigray,Northwest Tigray,Northwest Tigray,Teff,Meher,2008,5,2009,1,none,area,40300.19
11,ET2014A20101,Ethiopia,ET,Tigray,Northwest Tigray,Northwest Tigray,Teff,Meher,2010,5,2011,1,none,area,33830.27
12,ET2014A20101,Ethiopia,ET,Tigray,Northwest Tigray,Northwest Tigray,Teff,Meher,2011,5,2012,1,none,area,35664.41
13,ET2014A20101,Ethiopia,ET,Tigray,Northwest Tigray,Northwest Tigray,Teff,Meher,2012,5,2013,1,none,area,43269.41
14,ET2014A20101,Ethiopia,ET,Tigray,Northwest Tigray,Northwest Tigray,Teff,Meher,2014,5,2015,1,none,area,46219.0
15,ET2014A20101,Ethiopia,ET,Tigray,Northwest Tigray,Northwest Tigray,Teff,Meher,2015,5,2016,1,none,area,41664.44
16,ET2014A20101,Ethiopia,ET,Tigray,Northwest Tigray,Northwest Tigray,Barley,Meher,1998,5,1999,1,none,area,86.19645786734556
17,ET2014A20101,Ethiopia,ET,Tigray,Northwest Tigray,Northwest Tigray,Barley,Meher,2001,5,2002,1,none,area,118.12872728442699
18,ET2014A20101,Ethiopia,ET,Tigray,Northwest Tigray,Northwest Tigray,Barley,Meher,2003,5,2004,1,none,area,383.0
19,ET2014A20101,Ethiopia,ET,Tigray,Northwest Tigray,Northwest Tigray,Barley,Meher,2004,5,2005,1,none,area,500.0
20,ET2014A20101,Ethiopia,ET,Tigray,Northwest Tigray,Northwest Tigray,Barley,Meher,2005,5,2006,1,none,area,587.58
21,ET2014A20101,Ethiopia,ET,Tigray,Northwest Tigray,Northwest Tigray,Barley,Meher,2006,5,2007,1,none,area,533.75
22,ET2014A20101,Ethiopia,ET,Tigray,Northwest Tigray,Northwest Tigray,Barley,Meher,2007,5,2008,1,none,area,633.31
23,ET2014A20101,Ethiopia,ET,Tigray,Northwest Tigray,Northwest Tigray,Barley,Meher,2008,5,2009,1,none,area,275.74
24,ET2014A20101,Ethiopia,ET,Tigray,Northwest Tigray,Northwest Tigray,Barley,Meher,2010,5,2011,1,none,area,255.78
25,ET2014A20101,Ethiopia,ET,Tigray,Northwest Tigray,Northwest Tigray,Barley,Meher,2011,5,2012,1,none,area,414.9
26,ET2014A20101,Ethiopia,ET,Tigray,Northwest Tigray,Northwest Tigray,Barley,Meher,2012,5,2013,1,none,area,724.95
27,ET2014A20101,Ethiopia,ET,Tigray,Northwest Tigray,Northwest Tigray,Barley,Meher,2014,5,2015,1,none,area,384.33
28,ET2014A20101,Ethiopia,ET,Tigray,Northwest Tigray,Northwest Tigray,Barley,Meher,2015,5,2016,1,none,area,333.55
29,ET2014A20101,Ethiopia,ET,Tigray,Northwest Tigray,Northwest Tigray,Sorghum,Meher,1997,5,1998,1,none,area,29404.6764756512
30,ET2014A20101,Ethiopia,ET,Tigray,Northwest Tigray,Northwest Tigray,Sorghum,Meher,1998,5,1999,1,none,area,21003.340339750855
31,ET2014A20101,Ethiopia,ET,Tigray,Northwest Tigray,Northwest Tigray,Sorghum,Meher,1999,5,2000,1,none,area,20806.283828554107
32,ET2014A20101,Ethiopia,ET,Tigray,Northwest Tigray,Northwest Tigray,Sorghum,Meher,2000,5,2001,1,none,area,28924.05083858596
33,ET2014A20101,Ethiopia,ET,Tigray,Northwest Tigray,Northwest Tigray,Sorghum,Meher,2001,5,2002,1,none,area,26941.196129078733
34,ET2014A20101,Ethiopia,ET,Tigray,Northwest Tigray,Northwest Tigray,Sorghum,Meher,2003,5,2004,1,none,area,43028.0
35,ET2014A20101,Ethiopia,ET,Tigray,Northwest Tigray,Northwest Tigray,Sorghum,Meher,2004,5,2005,1,none,area,48510.0
36,ET2014A20101,Ethiopia,ET,Tigray,Northwest Tigray,Northwest Tigray,Sorghum,Meher,2005,5,2006,1,none,area,58735.34
37,ET2014A20101,Ethiopia,ET,Tigray,Northwest Tigray,Northwest Tigray,Sorghum,Meher,2006,5,2007,1,none,area,66068.22
38,ET2014A20101,Ethiopia,ET,Tigray,Northwest Tigray,Northwest Tigray,Sorghum,Meher,2007,5,2008,1,none,area,54973.26
39,ET2014A20101,Ethiopia,ET,Tigray,Northwest Tigray,Northwest Tigray,Sorghum,Meher,2008,5,2009,1,none,area,54236.67
40,ET2014A20101,Ethiopia,ET,Tigray,Northwest Tigray,Northwest Tigray,Sorghum,Meher,2010,5,2011,1,none,area,65368.29
41,ET2014A20101,Ethiopia,ET,Tigray,Northwest Tigray,Northwest Tigray,Sorghum,Meher,2011,5,2012,1,none,area,65245.77
42,ET2014A20101,Ethiopia,ET,Tigray,Northwest Tigray,Northwest Tigray,Sorghum,Meher,2012,5,2013,1,none,area,57149.9
