,fnid,country,country_code,admin_1,admin_2,name,product,season_name,planting_year,planting_month,harvest_year,harvest_month,crop_production_system,indicator,value
0,KE2013A101,Kenya,KE,Mombasa,none,Mombasa,Kale,Annual,2023,1,2022,12,All (PS),area,21.0
1,KE2013A101,Kenya,KE,Mombasa,none,Mombasa,Watermelon,Annual,2023,1,2022,12,All (PS),area,26.0
2,KE2013A101,Kenya,KE,Mombasa,none,Mombasa,Banana,Annual,2013,1,2012,12,All (PS),area,125.1
3,KE2013A101,Kenya,KE,Mombasa,none,Mombasa,Banana,Annual,2014,1,2013,12,All (PS),area,121.5
4,KE2013A101,Kenya,KE,Mombasa,none,Mombasa,Banana,Annual,2023,1,2022,12,All (PS),area,39.0
5,KE2013A101,Kenya,KE,Mombasa,none,Mombasa,Coconut (in shell),Annual,2013,1,2012,12,All (PS),area,6165.0
6,KE2013A101,Kenya,KE,Mombasa,none,Mombasa,Coconut (in shell),Annual,2014,1,2013,12,All (PS),area,6165.0
7,KE2013A101,Kenya,KE,Mombasa,none,Mombasa,Coconut (in shell),Annual,2015,1,2014,12,All (PS),area,100.0
8,KE2013A101,Kenya,KE,Mombasa,none,Mombasa,Coconut (in shell),Annual,2016,1,2015,12,All (PS),area,159.0
9,KE2013A101,Kenya,KE,Mombasa,none,Mombasa,Coconut (in shell),Annual,2017,1,2016,12,All (PS),area,168.0
10,KE2013A101,Kenya,KE,Mombasa,none,Mombasa,Coconut (in shell),Annual,2018,1,2017,12,All (PS),area,151.0
11,KE2013A101,Kenya,KE,Mombasa,none,Mombasa,Coconut (in shell),Annual,2019,1,2018,12,All (PS),area,156.0
12,KE2013A101,Kenya,KE,Mombasa,none,Mombasa,Coconut (in shell),Annual,2020,1,2019,12,All (PS),area,158.0
13,KE2013A101,Kenya,KE,Mombasa,none,Mombasa,Coconut (in shell),Annual,2021,1,2020,12,All (PS),area,145.36
14,KE2013A101,Kenya,KE,Mombasa,none,Mombasa,Coconut (in shell),Annual,2022,1,2021,12,All (PS),area,137.0
15,KE2013A101,Kenya,KE,Mombasa,none,Mombasa,Coconut (in shell),Annual,2023,1,2022,12,All (PS),area,145.0
16,KE2013A101,Kenya,KE,Mombasa,none,Mombasa,Coriander,Annual,2017,1,2016,12,All (PS),area,4.0
17,KE2013A101,Kenya,KE,Mombasa,none,Mombasa,Coriander,Annual,2018,1,2017,12,All (PS),area,5.0
18,KE2013A101,Kenya,KE,Mombasa,none,Mombasa,Coriander,Annual,2019,1,2018,12,All (PS),area,5.0
19,KE2013A101,Kenya,KE,Mombasa,none,Mombasa,Tomato,Annual,2013,1,2012,12,All (PS),area,8.5
20,KE2013A101,Kenya,KE,Mombasa,none,Mombasa,Tomato,Annual,2014,1,2013,12,All (PS),area,7.0
21,KE2013A101,Kenya,KE,Mombasa,none,Mombasa,Maize,Annual,1977,1,1976,12,All (PS),area,900.0
22,KE2013A101,Kenya,KE,Mombasa,none,Mombasa,Maize,Annual,1978,1,1977,12,All (PS),area,623.0
23,KE2013A101,Kenya,KE,Mombasa,none,Mombasa,Maize,Annual,1979,1,1978,12,All (PS),area,496.0
24,KE2013A101,Kenya,KE,Mombasa,none,Mombasa,Maize,Annual,1980,1,1979,12,All (PS),area,540.0
25,KE2013A101,Kenya,KE,Mombasa,none,Mombasa,Maize,Annual,1981,1,1980,12,All (PS),area,1025.0
26,KE2013A101,Kenya,KE,Mombasa,none,Mombasa,Maize,Annual,1982,1,1981,12,All (PS),area,1008.0
27,KE2013A101,Kenya,KE,Mombasa,none,Mombasa,Maize,Annual,1983,1,1982,12,All (PS),area,1644.4256970515
28,KE2013A101,Kenya,KE,Mombasa,none,Mombasa,Maize,Annual,1984,1,1983,12,All (PS),area,2682.67447730489
29,KE2013A101,Kenya,KE,Mombasa,none,Mombasa,Maize,Annual,1985,1,1984,12,All (PS),area,799.0
30,KE2013A101,Kenya,KE,Mombasa,none,Mombasa,Maize,Annual,1986,1,1985,12,All (PS),area,700.0
31,KE2013A101,Kenya,KE,Mombasa,none,Mombasa,Maize,Annual,1987,1,1986,12,All (PS),area,400.0
32,KE2013A101,Kenya,KE,Mombasa,none,Mombasa,Maize,Annual,1988,1,1987,12,All (PS),area,670.0
33,KE2013A101,Kenya,KE,Mombasa,none,Mombasa,Maize,Annual,1989,1,1988,12,All (PS),area,661.0
34,KE2013A101,Kenya,KE,Mombasa,none,Mombasa,Maize,Annual,1990,1,1989,12,All (PS),area,700.0
35,KE2013A101,Kenya,KE,Mombasa,none,Mombasa,Maize,Annual,1991,1,1990,12,All (PS),area,759.0
36,KE2013A101,Kenya,KE,Mombasa,none,Mombasa,Maize,Annual,1992,1,1991,12,All (PS),area,443.0
37,KE2013A101,Kenya,KE,Mombasa,none,Mombasa,Maize,Annual,1993,1,1992,12,All (PS),area,400.0
38,KE2013A101,Kenya,KE,Mombasa,none,Mombasa,Maize,Annual,1994,1,1993,12,All (PS),area,670.0
39,KE2013A101,Kenya,KE,Mombasa,none,Mombasa,Maize,Annual,1995,1,1994,12,All (PS),area,412.0
40,KE2013A101,Kenya,KE,Mombasa,none,Mombasa,Maize,Annual,1996,1,1995,12,All (PS),area,731.0
41,KE2013A101,Kenya,KE,Mombasa,none,Mombasa,Maize,Annual,1997,1,1996,12,All (PS),area,459.0
42,KE2013A101,Kenya,KE,Mombasa,none,Mombasa,Maize,Annual,1998,1,1997,12,All (PS),area,188.0
43,KE2013A101,Kenya,KE,Mombasa,none,Mombasa,Maize,Annual,1999,1,1998,12,All (PS),area,170.0
44,KE2013A101,Kenya,KE,Mombasa,none,Mombasa,Maize,Annual,2000,1,1999,12,All (PS),area,592.0
45,KE2013A101,Kenya,KE,Mombasa,none,Mombasa,Maize,Annual,2001,1,2000,12,All (PS),area,729.0
46,KE2013A101,Kenya,KE,Mombasa,none,Mombasa,Maize,Annual,2002,1,2001,12,All (PS),area,516.0
47,KE2013A101,Kenya,KE,Mombasa,none,Mombasa,Maize,Annual,2003,1,2002,12,All (PS),area,690.0
48,KE2013A101,Kenya,KE,Mombasa,none,Mombasa,Maize,Annual,2004,1,2003,12,All (PS),area,171.0
49,KE2013A101,Kenya,KE,Mombasa,none,Mombasa,Maize,Annual,2005,1,2004,12,All (PS),area,759.0
50,KE2013A101,Kenya,KE,Mombasa,none,Mombasa,Maize,Annual,2006,1,2005,12,All (PS),area,861.0
51,KE2013A101,Kenya,KE,Mombasa,none,Mombasa,Maize,Annual,2013,1,2012,12,All (PS),area,1001.0
52,KE2013A101,Kenya,KE,Mombasa,none,Mombasa,Maize,Annual,2014,1,2013,12,All (PS),area,653.0
53,KE2013A101,Kenya,KE,Mombasa,none,Mombasa,Maize,Annual,2015,1,2014,12,All (PS),area,672.0
54,KE2013A101,Kenya,KE,Mombasa,none,Mombasa,Maize,Annual,2016,1,2015,12,All (PS),area,860.0
55,KE2013A101,Kenya,KE,Mombasa,none,Mombasa,Maize,Annual,2017,1,2016,12,All (PS),area,798.0
