,fnid,country,country_code,admin_1,admin_2,name,product,season_name,planting_year,planting_month,harvest_year,harvest_month,crop_production_system,indicator,value
0,LR2008A103,Liberia,LR,Bomi,none,Bomi,Rice,Main,1997,4,1997,12,none,area,1348.0
1,LR2008A103,Liberia,LR,Bomi,none,Bomi,Rice,Main,2008,4,2008,12,none,area,9730.0
2,LR2008A103,Liberia,LR,Bomi,none,Bomi,Rice,Main,2009,4,2009,12,none,area,8870.0
3,LR2008A103,Liberia,LR,Bomi,none,Bomi,Rice,Main,2010,4,2010,12,none,area,8700.0
4,LR2008A103,Liberia,LR,Bomi,none,Bomi,Rice,Main,2011,4,2011,12,none,area,7040.0
5,LR2008A103,Liberia,LR,Bomi,none,Bomi,Cassava,Main,1997,4,1997,12,none,area,809.0
6,LR2008A103,Liberia,LR,Bomi,none,Bomi,Cassava,Main,2008,4,2008,12,none,area,2200.0
7,LR2008A103,Liberia,LR,Bomi,none,Bomi,Cassava,Main,2010,4,2010,12,none,area,2500.0
8,LR2008A103,Liberia,LR,Bomi,none,Bomi,Cassava,Main,2011,4,2011,12,none,area,2060.0
9,LR2008A106,Liberia,LR,Bong,none,Bong,Rice,Main,1997,4,1997,12,none,area,32730.0
10,LR2008A106,Liberia,LR,Bong,none,Bong,Rice,Main,2008,4,2008,12,none,area,34130.0
11,LR2008A106,Liberia,LR,Bong,none,Bong,Rice,Main,2009,4,2009,12,none,area,43890.0
12,LR2008A106,Liberia,LR,Bong,none,Bong,Rice,Main,2010,4,2010,12,none,area,46020.0
13,LR2008A106,Liberia,LR,Bong,none,Bong,Rice,Main,2011,4,2011,12,none,area,47580.0
14,LR2008A106,Liberia,LR,Bong,none,Bong,Cassava,Main,1997,4,1997,12,none,area,5728.0
15,LR2008A106,Liberia,LR,Bong,none,Bong,Cassava,Main,2008,4,2008,12,none,area,5070.0
16,LR2008A106,Liberia,LR,Bong,none,Bong,Cassava,Main,2010,4,2010,12,none,area,7000.0
17,LR2008A106,Liberia,LR,Bong,none,Bong,Cassava,Main,2011,4,2011,12,none,area,8470.0
18,LR2008A109,Liberia,LR,Grand Bassa,none,Grand Bassa,Rice,Main,1997,4,1997,12,none,area,18614.0
19,LR2008A109,Liberia,LR,Grand Bassa,none,Grand Bassa,Rice,Main,2008,4,2008,12,none,area,12440.0
20,LR2008A109,Liberia,LR,Grand Bassa,none,Grand Bassa,Rice,Main,2009,4,2009,12,none,area,12530.0
21,LR2008A109,Liberia,LR,Grand Bassa,none,Grand Bassa,Rice,Main,2010,4,2010,12,none,area,12160.0
22,LR2008A109,Liberia,LR,Grand Bassa,none,Grand Bassa,Rice,Main,2011,4,2011,12,none,area,13640.0
23,LR2008A109,Liberia,LR,Grand Bassa,none,Grand Bassa,Cassava,Main,1997,4,1997,12,none,area,5817.0
24,LR2008A109,Liberia,LR,Grand Bassa,none,Grand Bassa,Cassava,Main,2008,4,2008,12,none,area,6040.0
25,LR2008A109,Liberia,LR,Grand Bassa,none,Grand Bassa,Cassava,Main,2010,4,2010,12,none,area,6230.0
26,LR2008A109,Liberia,LR,Grand Bassa,none,Grand Bassa,Cassava,Main,2011,4,2011,12,none,area,4970.0
27,LR2008A112,Liberia,LR,Grand Cape Mount,none,Grand Cape Mount,Rice,Main,1997,4,1997,12,none,area,3642.0
28,LR2008A112,Liberia,LR,Grand Cape Mount,none,Grand Cape Mount,Rice,Main,2008,4,2008,12,none,area,8370.0
29,LR2008A112,Liberia,LR,Grand Cape Mount,none,Grand Cape Mount,Rice,Main,2009,4,2009,12,none,area,7960.0
30,LR2008A112,Liberia,LR,Grand Cape Mount,none,Grand Cape Mount,Rice,Main,2010,4,2010,12,none,area,8380.0
31,LR2008A112,Liberia,LR,Grand Cape Mount,none,Grand Cape Mount,Rice,Main,2011,4,2011,12,none,area,7320.0
32,LR2008A112,Liberia,LR,Grand Cape Mount,none,Grand Cape Mount,Cassava,Main,1997,4,1997,12,none,area,2185.0
33,LR2008A112,Liberia,LR,Grand Cape Mount,none,Grand Cape Mount,Cassava,Main,2008,4,2008,12,none,area,2510.0
34,LR2008A112,Liberia,LR,Grand Cape Mount,none,Grand Cape Mount,Cassava,Main,2010,4,2010,12,none,area,2230.0
35,LR2008A112,Liberia,LR,Grand Cape Mount,none,Grand Cape Mount,Cassava,Main,2011,4,2011,12,none,area,2400.0
36,LR2008A115,Liberia,LR,Grand Gedeh,none,Grand Gedeh,Rice,Main,1997,4,1997,12,none,area,1441.8580203165604
37,LR2008A115,Liberia,LR,Grand Gedeh,none,Grand Gedeh,Rice,Main,2008,4,2008,12,none,area,11230.0
38,LR2008A115,Liberia,LR,Grand Gedeh,none,Grand Gedeh,Rice,Main,2009,4,2009,12,none,area,9970.0
39,LR2008A115,Liberia,LR,Grand Gedeh,none,Grand Gedeh,Rice,Main,2010,4,2010,12,none,area,10220.0
40,LR2008A115,Liberia,LR,Grand Gedeh,none,Grand Gedeh,Rice,Main,2011,4,2011,12,none,area,9250.0
41,LR2008A115,Liberia,LR,Grand Gedeh,none,Grand Gedeh,Cassava,Main,1997,4,1997,12,none,area,971.0
42,LR2008A115,Liberia,LR,Grand Gedeh,none,Grand Gedeh,Cassava,Main,2008,4,2008,12,none,area,3990.0
43,LR2008A115,Liberia,LR,Grand Gedeh,none,Grand Gedeh,Cassava,Main,2010,4,2010,12,none,area,3480.0
44,LR2008A115,Liberia,LR,Grand Gedeh,none,Grand Gedeh,Cassava,Main,2011,4,2011,12,none,area,2540.0
45,LR2008A118,Liberia,LR,Grand Kru,none,Grand Kru,Rice,Main,1997,4,1997,12,none,area,2630.0
46,LR2008A118,Liberia,LR,Grand Kru,none,Grand Kru,Rice,Main,2008,4,2008,12,none,area,7350.0
47,LR2008A118,Liberia,LR,Grand Kru,none,Grand Kru,Rice,Main,2009,4,2009,12,none,area,8590.0
48,LR2008A118,Liberia,LR,Grand Kru,none,Grand Kru,Rice,Main,2010,4,2010,12,none,area,8300.0
49,LR2008A118,Liberia,LR,Grand Kru,none,Grand Kru,Rice,Main,2011,4,2011,12,none,area,9800.0
50,LR2008A118,Liberia,LR,Grand Kru,none,Grand Kru,Cassava,Main,1997,4,1997,12,none,area,2104.0
51,LR2008A118,Liberia,LR,Grand Kru,none,Grand Kru,Cassava,Main,2008,4,2008,12,none,area,2590.0
52,LR2008A118,Liberia,LR,Grand Kru,none,Grand Kru,Cassava,Main,2010,4,2010,12,none,area,3320.0
53,LR2008A118,Liberia,LR,Grand Kru,none,Grand Kru,Cassava,Main,2011,4,2011,12,none,area,3380.0
54,LR2008A121,Liberia,LR,Lofa,none,Lofa,Rice,Main,1997,4,1997,12,none,area,15625.155072326746
55,LR2008A121,Liberia,LR,Lofa,none,Lofa,Rice,Main,2008,4,2008,12,none,area,34190.0
56,LR2008A121,Liberia,LR,Lofa,none,Lofa,Rice,Main,2009,4,2009,12,none,area,44000.0
57,LR2008A121,Liberia,LR,Lofa,none,Lofa,Rice,Main,2010,4,2010,12,none,area,46140.0
58,LR2008A121,Liberia,LR,Lofa,none,Lofa,Rice,Main,2011,4,2011,12,none,area,40500.0
59,LR2008A121,Liberia,LR,Lofa,none,Lofa,Cassava,Main,1997,4,1997,12,none,area,3236.0
60,LR2008A121,Liberia,LR,Lofa,none,Lofa,Cassava,Main,2008,4,2008,12,none,area,3300.0
61,LR2008A121,Liberia,LR,Lofa,none,Lofa,Cassava,Main,2010,4,2010,12,none,area,5200.0
62,LR2008A121,Liberia,LR,Lofa,none,Lofa,Cassava,Main,2011,4,2011,12,none,area,4550.0
63,LR2008A124,Liberia,LR,Margibi,none,Margibi,Rice,Main,1997,4,1997,12,none,area,7669.0
64,LR2008A124,Liberia,LR,Margibi,none,Margibi,Rice,Main,2008,4,2008,12,none,area,7520.0
65,LR2008A124,Liberia,LR,Margibi,none,Margibi,Rice,Main,2009,4,2009,12,none,area,7120.0
66,LR2008A124,Liberia,LR,Margibi,none,Margibi,Rice,Main,2010,4,2010,12,none,area,6670.0
67,LR2008A124,Liberia,LR,Margibi,none,Margibi,Rice,Main,2011,4,2011,12,none,area,6170.0
68,LR2008A124,Liberia,LR,Margibi,none,Margibi,Cassava,Main,1997,4,1997,12,none,area,2556.0
69,LR2008A124,Liberia,LR,Margibi,none,Margibi,Cassava,Main,2008,4,2008,12,none,area,3140.0
70,LR2008A124,Liberia,LR,Margibi,none,Margibi,Cassava,Main,2010,4,2010,12,none,area,2720.0
71,LR2008A124,Liberia,LR,Margibi,none,Margibi,Cassava,Main,2011,4,2011,12,none,area,3040.0
72,LR2008A127,Liberia,LR,Maryland,none,Maryland,Rice,Main,1997,4,1997,12,none,area,1983.0
73,LR2008A127,Liberia,LR,Maryland,none,Maryland,Rice,Main,2008,4,2008,12,none,area,8270.0
74,LR2008A127,Liberia,LR,Maryland,none,Maryland,Rice,Main,2009,4,2009,12,none,area,7410.0
75,LR2008A127,Liberia,LR,Maryland,none,Maryland,Rice,Main,2010,4,2010,12,none,area,7360.0
76,LR2008A127,Liberia,LR,Maryland,none,Maryland,Rice,Main,2011,4,2011,12,none,area,7470.0
77,LR2008A127,Liberia,LR,Maryland,none,Maryland,Cassava,Main,1997,4,1997,12,none,area,1983.0
78,LR2008A127,Liberia,LR,Maryland,none,Maryland,Cassava,Main,2008,4,2008,12,none,area,2470.0
79,LR2008A127,Liberia,LR,Maryland,none,Maryland,Cassava,Main,2010,4,2010,12,none,area,3530.0
80,LR2008A127,Liberia,LR,Maryland,none,Maryland,Cassava,Main,2011,4,2011,12,none,area,4890.0
81,LR2008A130,Liberia,LR,Montserrado,none,Montserrado,Rice,Main,1997,4,1997,12,none,area,4047.0
82,LR2008A130,Liberia,LR,Montserrado,none,Montserrado,Rice,Main,2008,4,2008,12,none,area,7920.0
83,LR2008A130,Liberia,LR,Montserrado,none,Montserrado,Rice,Main,2009,4,2009,12,none,area,8160.0
84,LR2008A130,Liberia,LR,Montserrado,none,Montserrado,Rice,Main,2010,4,2010,12,none,area,7380.0
85,LR2008A130,Liberia,LR,Montserrado,none,Montserrado,Rice,Main,2011,4,2011,12,none,area,6320.0
86,LR2008A130,Liberia,LR,Montserrado,none,Montserrado,Cassava,Main,1997,4,1997,12,none,area,5666.0
87,LR2008A130,Liberia,LR,Montserrado,none,Montserrado,Cassava,Main,2008,4,2008,12,none,area,3900.0
88,LR2008A130,Liberia,LR,Montserrado,none,Montserrado,Cassava,Main,2010,4,2010,12,none,area,3440.0
89,LR2008A130,Liberia,LR,Montserrado,none,Montserrado,Cassava,Main,2011,4,2011,12,none,area,3040.0
90,LR2008A133,Liberia,LR,Nimba,none,Nimba,Rice,Main,1997,4,1997,12,none,area,32627.0
91,LR2008A133,Liberia,LR,Nimba,none,Nimba,Rice,Main,2008,4,2008,12,none,area,46180.0
92,LR2008A133,Liberia,LR,Nimba,none,Nimba,Rice,Main,2009,4,2009,12,none,area,53020.0
93,LR2008A133,Liberia,LR,Nimba,none,Nimba,Rice,Main,2010,4,2010,12,none,area,55060.0
94,LR2008A133,Liberia,LR,Nimba,none,Nimba,Rice,Main,2011,4,2011,12,none,area,50930.0
95,LR2008A133,Liberia,LR,Nimba,none,Nimba,Cassava,Main,1997,4,1997,12,none,area,9322.0
96,LR2008A133,Liberia,LR,Nimba,none,Nimba,Cassava,Main,2008,4,2008,12,none,area,13530.0
97,LR2008A133,Liberia,LR,Nimba,none,Nimba,Cassava,Main,2010,4,2010,12,none,area,10630.0
98,LR2008A133,Liberia,LR,Nimba,none,Nimba,Cassava,Main,2011,4,2011,12,none,area,12140.0
99,LR2008A136,Liberia,LR,Rivercess,none,Rivercess,Rice,Main,1997,4,1997,12,none,area,4272.0
100,LR2008A136,Liberia,LR,Rivercess,none,Rivercess,Rice,Main,2008,4,2008,12,none,area,5960.0
101,LR2008A136,Liberia,LR,Rivercess,none,Rivercess,Rice,Main,2009,4,2009,12,none,area,7000.0
102,LR2008A136,Liberia,LR,Rivercess,none,Rivercess,Rice,Main,2010,4,2010,12,none,area,5860.0
103,LR2008A136,Liberia,LR,Rivercess,none,Rivercess,Rice,Main,2011,4,2011,12,none,area,4960.0
104,LR2008A136,Liberia,LR,Rivercess,none,Rivercess,Cassava,Main,1997,4,1997,12,none,area,1508.0
105,LR2008A136,Liberia,LR,Rivercess,none,Rivercess,Cassava,Main,2008,4,2008,12,none,area,2110.0
106,LR2008A136,Liberia,LR,Rivercess,none,Rivercess,Cassava,Main,2010,4,2010,12,none,area,2550.0
107,LR2008A136,Liberia,LR,Rivercess,none,Rivercess,Cassava,Main,2011,4,2011,12,none,area,2230.0
108,LR2008A139,Liberia,LR,Sinoe,none,Sinoe,Rice,Main,1997,4,1997,12,none,area,3286.0
109,LR2008A139,Liberia,LR,Sinoe,none,Sinoe,Rice,Main,2008,4,2008,12,none,area,8950.0
110,LR2008A139,Liberia,LR,Sinoe,none,Sinoe,Rice,Main,2009,4,2009,12,none,area,9200.0
111,LR2008A139,Liberia,LR,Sinoe,none,Sinoe,Rice,Main,2010,4,2010,12,none,area,9290.0
112,LR2008A139,Liberia,LR,Sinoe,none,Sinoe,Rice,Main,2011,4,2011,12,none,area,8300.0
113,LR2008A139,Liberia,LR,Sinoe,none,Sinoe,Cassava,Main,1997,4,1997,12,none,area,1643.0
114,LR2008A139,Liberia,LR,Sinoe,none,Sinoe,Cassava,Main,2008,4,2008,12,none,area,2120.0
115,LR2008A139,Liberia,LR,Sinoe,none,Sinoe,Cassava,Main,2010,4,2010,12,none,area,3820.0
116,LR2008A139,Liberia,LR,Sinoe,none,Sinoe,Cassava,Main,2011,4,2011,12,none,area,3040.0
117,LR2008A142,Liberia,LR,River Gee,none,River Gee,Rice,Main,1997,4,1997,12,none,area,986.1419796834397
118,LR2008A142,Liberia,LR,River Gee,none,River Gee,Rice,Main,2008,4,2008,12,none,area,7990.0
119,LR2008A142,Liberia,LR,River Gee,none,River Gee,Rice,Main,2009,4,2009,12,none,area,6900.0
120,LR2008A142,Liberia,LR,River Gee,none,River Gee,Rice,Main,2010,4,2010,12,none,area,6800.0
121,LR2008A142,Liberia,LR,River Gee,none,River Gee,Rice,Main,2011,4,2011,12,none,area,7190.0
122,LR2008A142,Liberia,LR,River Gee,none,River Gee,Cassava,Main,2008,4,2008,12,none,area,2200.0
123,LR2008A142,Liberia,LR,River Gee,none,River Gee,Cassava,Main,2010,4,2010,12,none,area,2280.0
124,LR2008A142,Liberia,LR,River Gee,none,River Gee,Cassava,Main,2011,4,2011,12,none,area,2270.0
125,LR2008A145,Liberia,LR,Gbarpolu,none,Gbarpolu,Rice,Main,1997,4,1997,12,none,area,4608.844927673254
126,LR2008A145,Liberia,LR,Gbarpolu,none,Gbarpolu,Rice,Main,2008,4,2008,12,none,area,12440.0
127,LR2008A145,Liberia,LR,Gbarpolu,none,Gbarpolu,Rice,Main,2009,4,2009,12,none,area,12960.0
128,LR2008A145,Liberia,LR,Gbarpolu,none,Gbarpolu,Rice,Main,2010,4,2010,12,none,area,12890.0
129,LR2008A145,Liberia,LR,Gbarpolu,none,Gbarpolu,Rice,Main,2011,4,2011,12,none,area,12310.0
130,LR2008A145,Liberia,LR,Gbarpolu,none,Gbarpolu,Cassava,Main,2008,4,2008,12,none,area,2190.0
131,LR2008A145,Liberia,LR,Gbarpolu,none,Gbarpolu,Cassava,Main,2010,4,2010,12,none,area,2540.0
132,LR2008A145,Liberia,LR,Gbarpolu,none,Gbarpolu,Cassava,Main,2011,4,2011,12,none,area,2020.0
133,LR2008A103,Liberia,LR,Bomi,none,Bomi,Rice,Main,1995,4,1995,12,none,production,1800.0
134,LR2008A103,Liberia,LR,Bomi,none,Bomi,Rice,Main,1996,4,1996,12,none,production,200.0
135,LR2008A103,Liberia,LR,Bomi,none,Bomi,Rice,Main,1997,4,1997,12,none,production,1840.0
136,LR2008A103,Liberia,LR,Bomi,none,Bomi,Rice,Main,2008,4,2008,12,none,production,12740.0
137,LR2008A103,Liberia,LR,Bomi,none,Bomi,Rice,Main,2009,4,2009,12,none,production,10640.0
138,LR2008A103,Liberia,LR,Bomi,none,Bomi,Rice,Main,2010,4,2010,12,none,production,8700.0
139,LR2008A103,Liberia,LR,Bomi,none,Bomi,Rice,Main,2011,4,2011,12,none,production,7390.0
140,LR2008A103,Liberia,LR,Bomi,none,Bomi,Rice,Main,2012,4,2012,12,none,production,7570.0
141,LR2008A103,Liberia,LR,Bomi,none,Bomi,Rice,Main,2013,4,2013,12,none,production,7470.0
142,LR2008A103,Liberia,LR,Bomi,none,Bomi,Rice,Main,2014,4,2014,12,none,production,7990.0
143,LR2008A103,Liberia,LR,Bomi,none,Bomi,Rice,Main,2015,4,2015,12,none,production,8430.0
144,LR2008A103,Liberia,LR,Bomi,none,Bomi,Cassava,Main,1997,4,1997,12,none,production,4200.0
145,LR2008A103,Liberia,LR,Bomi,none,Bomi,Cassava,Main,2008,4,2008,12,none,production,23050.0
146,LR2008A103,Liberia,LR,Bomi,none,Bomi,Cassava,Main,2010,4,2010,12,none,production,15150.0
147,LR2008A103,Liberia,LR,Bomi,none,Bomi,Cassava,Main,2011,4,2011,12,none,production,14420.0
148,LR2008A103,Liberia,LR,Bomi,none,Bomi,Cassava,Main,2012,4,2012,12,none,production,14530.0
149,LR2008A103,Liberia,LR,Bomi,none,Bomi,Cassava,Main,2013,4,2013,12,none,production,14510.0
150,LR2008A103,Liberia,LR,Bomi,none,Bomi,Cassava,Main,2014,4,2014,12,none,production,15130.0
151,LR2008A103,Liberia,LR,Bomi,none,Bomi,Cassava,Main,2015,4,2015,12,none,production,18210.0
152,LR2008A106,Liberia,LR,Bong,none,Bong,Rice,Main,1995,4,1995,12,none,production,12100.0
153,LR2008A106,Liberia,LR,Bong,none,Bong,Rice,Main,1996,4,1996,12,none,production,28200.0
154,LR2008A106,Liberia,LR,Bong,none,Bong,Rice,Main,1997,4,1997,12,none,production,45500.0
155,LR2008A106,Liberia,LR,Bong,none,Bong,Rice,Main,2008,4,2008,12,none,production,46760.0
156,LR2008A106,Liberia,LR,Bong,none,Bong,Rice,Main,2009,4,2009,12,none,production,55740.0
157,LR2008A106,Liberia,LR,Bong,none,Bong,Rice,Main,2010,4,2010,12,none,production,58440.0
158,LR2008A106,Liberia,LR,Bong,none,Bong,Rice,Main,2011,4,2011,12,none,production,60900.0
159,LR2008A106,Liberia,LR,Bong,none,Bong,Rice,Main,2012,4,2012,12,none,production,62370.0
160,LR2008A106,Liberia,LR,Bong,none,Bong,Rice,Main,2013,4,2013,12,none,production,56430.0
161,LR2008A106,Liberia,LR,Bong,none,Bong,Rice,Main,2014,4,2014,12,none,production,58230.0
162,LR2008A106,Liberia,LR,Bong,none,Bong,Rice,Main,2015,4,2015,12,none,production,58900.0
163,LR2008A106,Liberia,LR,Bong,none,Bong,Cassava,Main,1997,4,1997,12,none,production,30360.0
164,LR2008A106,Liberia,LR,Bong,none,Bong,Cassava,Main,2008,4,2008,12,none,production,36320.0
165,LR2008A106,Liberia,LR,Bong,none,Bong,Cassava,Main,2010,4,2010,12,none,production,55790.0
166,LR2008A106,Liberia,LR,Bong,none,Bong,Cassava,Main,2011,4,2011,12,none,production,71150.0
167,LR2008A106,Liberia,LR,Bong,none,Bong,Cassava,Main,2012,4,2012,12,none,production,71660.0
168,LR2008A106,Liberia,LR,Bong,none,Bong,Cassava,Main,2013,4,2013,12,none,production,73180.0
169,LR2008A106,Liberia,LR,Bong,none,Bong,Cassava,Main,2014,4,2014,12,none,production,83460.0
170,LR2008A106,Liberia,LR,Bong,none,Bong,Cassava,Main,2015,4,2015,12,none,production,84160.0
171,LR2008A109,Liberia,LR,Grand Bassa,none,Grand Bassa,Rice,Main,1995,4,1995,12,none,production,7800.0
172,LR2008A109,Liberia,LR,Grand Bassa,none,Grand Bassa,Rice,Main,1996,4,1996,12,none,production,4600.0
173,LR2008A109,Liberia,LR,Grand Bassa,none,Grand Bassa,Rice,Main,1997,4,1997,12,none,production,19610.0
174,LR2008A109,Liberia,LR,Grand Bassa,none,Grand Bassa,Rice,Main,2008,4,2008,12,none,production,13060.0
175,LR2008A109,Liberia,LR,Grand Bassa,none,Grand Bassa,Rice,Main,2009,4,2009,12,none,production,12530.0
176,LR2008A109,Liberia,LR,Grand Bassa,none,Grand Bassa,Rice,Main,2010,4,2010,12,none,production,12400.0
177,LR2008A109,Liberia,LR,Grand Bassa,none,Grand Bassa,Rice,Main,2011,4,2011,12,none,production,15140.0
178,LR2008A109,Liberia,LR,Grand Bassa,none,Grand Bassa,Rice,Main,2012,4,2012,12,none,production,15500.0
179,LR2008A109,Liberia,LR,Grand Bassa,none,Grand Bassa,Rice,Main,2013,4,2013,12,none,production,14630.0
180,LR2008A109,Liberia,LR,Grand Bassa,none,Grand Bassa,Rice,Main,2014,4,2014,12,none,production,15440.0
181,LR2008A109,Liberia,LR,Grand Bassa,none,Grand Bassa,Rice,Main,2015,4,2015,12,none,production,15760.0
182,LR2008A109,Liberia,LR,Grand Bassa,none,Grand Bassa,Cassava,Main,1997,4,1997,12,none,production,38390.0
183,LR2008A109,Liberia,LR,Grand Bassa,none,Grand Bassa,Cassava,Main,2008,4,2008,12,none,production,51950.0
184,LR2008A109,Liberia,LR,Grand Bassa,none,Grand Bassa,Cassava,Main,2010,4,2010,12,none,production,46600.0
185,LR2008A109,Liberia,LR,Grand Bassa,none,Grand Bassa,Cassava,Main,2011,4,2011,12,none,production,36780.0
186,LR2008A109,Liberia,LR,Grand Bassa,none,Grand Bassa,Cassava,Main,2012,4,2012,12,none,production,37080.0
187,LR2008A109,Liberia,LR,Grand Bassa,none,Grand Bassa,Cassava,Main,2013,4,2013,12,none,production,41570.0
188,LR2008A109,Liberia,LR,Grand Bassa,none,Grand Bassa,Cassava,Main,2014,4,2014,12,none,production,42070.0
189,LR2008A109,Liberia,LR,Grand Bassa,none,Grand Bassa,Cassava,Main,2015,4,2015,12,none,production,43140.0
190,LR2008A112,Liberia,LR,Grand Cape Mount,none,Grand Cape Mount,Rice,Main,1995,4,1995,12,none,production,4800.0
191,LR2008A112,Liberia,LR,Grand Cape Mount,none,Grand Cape Mount,Rice,Main,1996,4,1996,12,none,production,700.0
192,LR2008A112,Liberia,LR,Grand Cape Mount,none,Grand Cape Mount,Rice,Main,1997,4,1997,12,none,production,5390.0
193,LR2008A112,Liberia,LR,Grand Cape Mount,none,Grand Cape Mount,Rice,Main,2008,4,2008,12,none,production,10710.0
194,LR2008A112,Liberia,LR,Grand Cape Mount,none,Grand Cape Mount,Rice,Main,2009,4,2009,12,none,production,8600.0
195,LR2008A112,Liberia,LR,Grand Cape Mount,none,Grand Cape Mount,Rice,Main,2010,4,2010,12,none,production,8550.0
196,LR2008A112,Liberia,LR,Grand Cape Mount,none,Grand Cape Mount,Rice,Main,2011,4,2011,12,none,production,8930.0
197,LR2008A112,Liberia,LR,Grand Cape Mount,none,Grand Cape Mount,Rice,Main,2012,4,2012,12,none,production,9140.0
198,LR2008A112,Liberia,LR,Grand Cape Mount,none,Grand Cape Mount,Rice,Main,2013,4,2013,12,none,production,8680.0
199,LR2008A112,Liberia,LR,Grand Cape Mount,none,Grand Cape Mount,Rice,Main,2014,4,2014,12,none,production,8460.0
200,LR2008A112,Liberia,LR,Grand Cape Mount,none,Grand Cape Mount,Rice,Main,2015,4,2015,12,none,production,8460.0
201,LR2008A112,Liberia,LR,Grand Cape Mount,none,Grand Cape Mount,Cassava,Main,1997,4,1997,12,none,production,17480.0
202,LR2008A112,Liberia,LR,Grand Cape Mount,none,Grand Cape Mount,Cassava,Main,2008,4,2008,12,none,production,16350.0
203,LR2008A112,Liberia,LR,Grand Cape Mount,none,Grand Cape Mount,Cassava,Main,2010,4,2010,12,none,production,17390.0
204,LR2008A112,Liberia,LR,Grand Cape Mount,none,Grand Cape Mount,Cassava,Main,2011,4,2011,12,none,production,17760.0
