,fnid,country,country_code,admin_1,admin_2,name,product,season_name,planting_year,planting_month,harvest_year,harvest_month,crop_production_system,indicator,value
0,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,1984,6,1984,12,All (PS),area,230.0
1,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,1987,6,1987,12,All (PS),area,192.0
2,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,1989,6,1989,12,All (PS),area,166.0
3,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,1990,6,1990,12,All (PS),area,767.0
4,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,1992,6,1992,12,All (PS),area,808.0
5,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,1993,6,1993,12,All (PS),area,220.0
6,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,1994,6,1994,12,All (PS),area,199.0
7,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,1995,6,1995,12,All (PS),area,199.0
8,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,1996,6,1996,12,All (PS),area,1204.0
9,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,1997,6,1997,12,All (PS),area,627.0
10,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,1998,6,1998,12,All (PS),area,918.0
11,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,2000,6,2000,12,All (PS),area,532.0
12,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,2002,6,2002,12,All (PS),area,443.0
13,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,2003,6,2003,12,All (PS),area,1300.0
14,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,2004,6,2004,12,All (PS),area,467.0
15,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,2005,6,2005,12,All (PS),area,1676.0
16,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,2006,6,2006,12,All (PS),area,154.0
17,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,2007,6,2007,12,All (PS),area,84.0
18,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,2008,6,2008,12,All (PS),area,1064.0
19,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,2009,6,2009,12,All (PS),area,928.0
20,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,2010,6,2010,12,All (PS),area,928.0
21,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,2011,6,2011,12,All (PS),area,846.0
22,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,2012,6,2012,12,All (PS),area,813.0
23,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,2013,6,2013,12,All (PS),area,1131.0
24,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,2015,6,2015,12,All (PS),area,2147.0
25,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,2016,6,2016,12,All (PS),area,1750.0
26,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,2017,6,2017,12,All (PS),area,4054.0
27,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,2018,6,2018,12,All (PS),area,1714.0
28,ML2016A101,Mali,ML,Kayes,none,Kayes,Bambara groundnut,Main,2019,6,2019,12,All (PS),area,1481.0
