,fnid,country,country_code,admin_1,admin_2,name,product,season_name,planting_year,planting_month,harvest_year,harvest_month,crop_production_system,indicator,value,QC_flag
0,MW2018A20101,Malawi,MW,Central,Dedza,Dedza,Maize,Annual,2020,11,2021,10,All (PS),area,104474.0,0
1,MW2018A20101,Malawi,MW,Central,Dedza,Dedza,Maize,Annual,2021,11,2022,10,All (PS),area,105142.0,0
2,MW2018A20101,Malawi,MW,Central,Dedza,Dedza,Maize,Annual,2022,11,2023,10,All (PS),area,106237.0,0
3,MW2018A20101,Malawi,MW,Central,Dedza,Dedza,Maize,Main,1983,11,1984,5,Rainfed (PS),area,41369.0,0
4,MW2018A20101,Malawi,MW,Central,Dedza,Dedza,Maize,Main,1984,11,1985,5,Rainfed (PS),area,191688.0,0
5,MW2018A20101,Malawi,MW,Central,Dedza,Dedza,Maize,Main,1985,11,1986,5,Rainfed (PS),area,193805.0,0
6,MW2018A20101,Malawi,MW,Central,Dedza,Dedza,Maize,Main,1986,11,1987,5,Rainfed (PS),area,206707.0,0
7,MW2018A20101,Malawi,MW,Central,Dedza,Dedza,Maize,Main,1987,11,1988,5,Rainfed (PS),area,211262.0,0
8,MW2018A20101,Malawi,MW,Central,Dedza,Dedza,Maize,Main,1988,11,1989,5,Rainfed (PS),area,205052.0,0
9,MW2018A20101,Malawi,MW,Central,Dedza,Dedza,Maize,Main,1989,11,1990,5,Rainfed (PS),area,206900.0,0
10,MW2018A20101,Malawi,MW,Central,Dedza,Dedza,Maize,Main,1990,11,1991,5,Rainfed (PS),area,216018.0,0
11,MW2018A20101,Malawi,MW,Central,Dedza,Dedza,Maize,Main,1991,11,1992,5,Rainfed (PS),area,214438.0,0
12,MW2018A20101,Malawi,MW,Central,Dedza,Dedza,Maize,Main,1992,11,1993,5,Rainfed (PS),area,207805.0,0
13,MW2018A20101,Malawi,MW,Central,Dedza,Dedza,Maize,Main,1993,11,1994,5,Rainfed (PS),area,179172.0,0
14,MW2018A20101,Malawi,MW,Central,Dedza,Dedza,Maize,Main,1994,11,1995,5,Rainfed (PS),area,178023.0,0
15,MW2018A20101,Malawi,MW,Central,Dedza,Dedza,Maize,Main,1995,11,1996,5,Rainfed (PS),area,180284.0,0
16,MW2018A20101,Malawi,MW,Central,Dedza,Dedza,Maize,Main,1996,11,1997,5,Rainfed (PS),area,169819.0,0
17,MW2018A20101,Malawi,MW,Central,Dedza,Dedza,Maize,Main,1997,11,1998,5,Rainfed (PS),area,177001.0,0
