,fnid,country,country_code,admin_1,admin_2,name,product,season_name,planting_year,planting_month,harvest_year,harvest_month,crop_production_system,indicator,value
0,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Groundnuts (In Shell),Main,1960,6,1960,11,none,area,3500.0
1,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Groundnuts (In Shell),Main,1961,6,1961,11,none,area,5000.0
2,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Groundnuts (In Shell),Main,1962,6,1962,11,none,area,3000.0
3,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Groundnuts (In Shell),Main,1963,6,1963,11,none,area,5380.0
4,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Groundnuts (In Shell),Main,1964,6,1964,11,none,area,4186.0
5,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Groundnuts (In Shell),Main,1965,6,1965,11,none,area,4000.0
6,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Groundnuts (In Shell),Main,1966,6,1966,11,none,area,3575.0
7,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Groundnuts (In Shell),Main,1967,6,1967,11,none,area,5115.0
8,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Groundnuts (In Shell),Main,1968,6,1968,11,none,area,2836.0
9,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Groundnuts (In Shell),Main,1970,6,1970,11,none,area,3809.0
10,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Groundnuts (In Shell),Main,1971,6,1971,11,none,area,13.0
11,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Groundnuts (In Shell),Main,1973,6,1973,11,none,area,2130.0
12,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Groundnuts (In Shell),Main,1974,6,1974,11,none,area,2000.0
13,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Groundnuts (In Shell),Main,1976,6,1976,11,none,area,1421.0
14,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Groundnuts (In Shell),Main,1989,6,1989,11,none,area,724.0
15,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Groundnuts (In Shell),Main,1990,6,1990,11,none,area,454.0
16,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Groundnuts (In Shell),Main,1991,6,1991,11,none,area,160.0
17,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Groundnuts (In Shell),Main,1992,6,1992,11,none,area,742.0
18,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Groundnuts (In Shell),Main,1993,6,1993,11,none,area,1716.0
19,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Groundnuts (In Shell),Main,1994,6,1994,11,none,area,1640.0
20,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Groundnuts (In Shell),Main,1995,6,1995,11,none,area,1366.0
21,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Groundnuts (In Shell),Main,1996,6,1996,11,none,area,1347.0
22,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Groundnuts (In Shell),Main,1997,6,1997,11,none,area,128.0
23,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Groundnuts (In Shell),Main,1998,6,1998,11,none,area,14.0
24,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Groundnuts (In Shell),Main,1999,6,1999,11,none,area,14.0
25,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Groundnuts (In Shell),Main,2000,6,2000,11,none,area,287.0
26,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Groundnuts (In Shell),Main,2001,6,2001,11,none,area,90.0
27,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Groundnuts (In Shell),Main,2002,6,2002,11,none,area,82.0
28,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Groundnuts (In Shell),Main,2003,6,2003,11,none,area,145.0
29,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Groundnuts (In Shell),Main,2004,6,2004,11,none,area,84.0
30,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Groundnuts (In Shell),Main,2005,6,2005,11,none,area,775.0
31,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Groundnuts (In Shell),Main,2006,6,2006,11,none,area,559.0
32,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Groundnuts (In Shell),Main,2007,6,2007,11,none,area,517.0
33,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Groundnuts (In Shell),Main,2008,6,2008,11,none,area,479.0
34,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Groundnuts (In Shell),Main,2009,6,2009,11,none,area,1179.09673016
35,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Groundnuts (In Shell),Main,2010,6,2010,11,none,area,1786.0
36,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Groundnuts (In Shell),Main,2011,6,2011,11,none,area,3045.11198808
37,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Groundnuts (In Shell),Main,2012,6,2012,11,none,area,2943.0
38,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Groundnuts (In Shell),Main,2013,6,2013,11,none,area,2976.0
39,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Groundnuts (In Shell),Main,2014,6,2014,11,none,area,2943.0
40,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Groundnuts (In Shell),Main,2015,6,2015,11,none,area,1233.47841347
41,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Maize,Main,1988,6,1988,11,none,area,315.0
42,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Maize,Main,1989,6,1989,11,none,area,145.0
43,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Maize,Main,1990,6,1990,11,none,area,835.0
44,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Maize,Main,1991,6,1991,11,none,area,37.0
45,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Maize,Main,1992,6,1992,11,none,area,37.0
46,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Maize,Main,1993,6,1993,11,none,area,1097.0
47,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Maize,Main,1994,6,1994,11,none,area,1134.0
48,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Maize,Main,1995,6,1995,11,none,area,607.0
49,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Maize,Main,1996,6,1996,11,none,area,191.0
50,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Maize,Main,1997,6,1997,11,none,area,188.0
51,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Maize,Main,1998,6,1998,11,none,area,18.0
52,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Maize,Main,1999,6,1999,11,none,area,18.198
53,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Maize,Main,2000,6,2000,11,none,area,258.0
54,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Maize,Main,2001,6,2001,11,none,area,84.0
55,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Maize,Main,2002,6,2002,11,none,area,80.0
56,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Maize,Main,2003,6,2003,11,none,area,510.0
57,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Maize,Main,2004,6,2004,11,none,area,250.0
58,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Maize,Main,2005,6,2005,11,none,area,600.0
59,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Maize,Main,2006,6,2006,11,none,area,495.0
60,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Maize,Main,2007,6,2007,11,none,area,8.0
61,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Maize,Main,2008,6,2008,11,none,area,324.0
62,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Maize,Main,2009,6,2009,11,none,area,21.99243868
63,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Maize,Main,2010,6,2010,11,none,area,387.0
64,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Maize,Main,2011,6,2011,11,none,area,381.05097334
65,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Maize,Main,2012,6,2012,11,none,area,900.0
66,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Maize,Main,2013,6,2013,11,none,area,918.0
67,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Maize,Main,2014,6,2014,11,none,area,900.0
68,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Maize,Main,2015,6,2015,11,none,area,900.0
69,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Cassava,Main,2002,6,2002,11,none,area,61.0
70,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Cassava,Main,2003,6,2003,11,none,area,101.0
71,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Cassava,Main,2004,6,2004,11,none,area,178.0
72,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Cassava,Main,2010,6,2010,11,none,area,546.0
73,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Cassava,Main,2011,6,2011,11,none,area,184.55614298
74,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Cassava,Main,2012,6,2012,11,none,area,375.0
75,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Cassava,Main,2013,6,2013,11,none,area,335.0
76,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Cassava,Main,2014,6,2014,11,none,area,375.0
77,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Cassava,Main,2015,6,2015,11,none,area,682.77805578
78,SN2008A20103,Senegal,SN,Dakar,Rufisque,Rufisque,Cowpea,Main,1962,6,1962,11,none,area,4651.06067946904
