,fnid,country,country_code,admin_1,admin_2,name,product,season_name,planting_year,planting_month,harvest_year,harvest_month,crop_production_system,indicator,value
0,SO1990A21101,Somalia,SO,Awdal,Borama,Borama,Maize,Gu,1998,3,1998,8,All (PS),area,1230.0
1,SO1990A21101,Somalia,SO,Awdal,Borama,Borama,Maize,Gu,1999,3,1999,8,All (PS),area,1420.0
2,SO1990A21101,Somalia,SO,Awdal,Borama,Borama,Maize,Gu,2000,3,2000,8,All (PS),area,1000.0
3,SO1990A21101,Somalia,SO,Awdal,Borama,Borama,Maize,Gu,2001,3,2001,8,All (PS),area,600.0
4,SO1990A21101,Somalia,SO,Awdal,Borama,Borama,Maize,Gu,2002,3,2002,8,All (PS),area,1770.0
5,SO1990A21101,Somalia,SO,Awdal,Borama,Borama,Maize,Gu,2003,3,2003,8,All (PS),area,3560.0
6,SO1990A21101,Somalia,SO,Awdal,Borama,Borama,Maize,Gu,2004,3,2004,8,All (PS),area,2100.0
7,SO1990A21101,Somalia,SO,Awdal,Borama,Borama,Maize,Gu,2005,3,2005,8,All (PS),area,3450.0
8,SO1990A21101,Somalia,SO,Awdal,Borama,Borama,Maize,Gu,2006,3,2006,8,All (PS),area,1380.0
9,SO1990A21101,Somalia,SO,Awdal,Borama,Borama,Maize,Gu,2007,3,2007,8,All (PS),area,2032.0
10,SO1990A21101,Somalia,SO,Awdal,Borama,Borama,Maize,Gu,2008,3,2008,8,All (PS),area,850.0
11,SO1990A21101,Somalia,SO,Awdal,Borama,Borama,Maize,Gu,2009,3,2009,8,All (PS),area,300.0
12,SO1990A21101,Somalia,SO,Awdal,Borama,Borama,Maize,Gu,2010,3,2010,8,All (PS),area,3844.0
13,SO1990A21101,Somalia,SO,Awdal,Borama,Borama,Maize,Gu,2011,3,2011,8,All (PS),area,5000.0
14,SO1990A21101,Somalia,SO,Awdal,Borama,Borama,Maize,Gu,2012,3,2012,8,All (PS),area,2200.0
15,SO1990A21101,Somalia,SO,Awdal,Borama,Borama,Maize,Gu,2013,3,2013,8,All (PS),area,3300.0
16,SO1990A21101,Somalia,SO,Awdal,Borama,Borama,Maize,Gu,2014,3,2014,8,All (PS),area,7500.0
17,SO1990A21101,Somalia,SO,Awdal,Borama,Borama,Maize,Gu,2015,3,2015,8,All (PS),area,1600.0
18,SO1990A21101,Somalia,SO,Awdal,Borama,Borama,Maize,Gu,2016,3,2016,8,All (PS),area,3000.0
19,SO1990A21101,Somalia,SO,Awdal,Borama,Borama,Maize,Gu,2017,3,2017,8,All (PS),area,2000.0
20,SO1990A21101,Somalia,SO,Awdal,Borama,Borama,Maize,Gu,2018,3,2018,8,All (PS),area,3500.0
21,SO1990A21101,Somalia,SO,Awdal,Borama,Borama,Maize,Gu,2019,3,2019,8,All (PS),area,1800.0
22,SO1990A21101,Somalia,SO,Awdal,Borama,Borama,Maize,Gu,2020,3,2020,8,All (PS),area,2500.0
23,SO1990A21101,Somalia,SO,Awdal,Borama,Borama,Maize,Gu,2021,3,2021,8,All (PS),area,2500.0
24,SO1990A21101,Somalia,SO,Awdal,Borama,Borama,Maize,Gu,2022,3,2022,8,All (PS),area,1200.0
25,SO1990A21101,Somalia,SO,Awdal,Borama,Borama,Maize,Gu,2023,3,2023,8,All (PS),area,2000.0
26,SO1990A21101,Somalia,SO,Awdal,Borama,Borama,Maize,Gu,2024,3,2024,8,All (PS),area,1500.0
27,SO1990A21101,Somalia,SO,Awdal,Borama,Borama,Maize,Gu,2025,3,2025,8,All (PS),area,1200.0
28,SO1990A21101,Somalia,SO,Awdal,Borama,Borama,Maize,Deyr,2024,10,2025,3,All (PS),area,1500.0
29,SO1990A21101,Somalia,SO,Awdal,Borama,Borama,Sorghum,Gu,1998,3,1998,8,All (PS),area,2000.0
30,SO1990A21101,Somalia,SO,Awdal,Borama,Borama,Sorghum,Gu,1999,3,1999,8,All (PS),area,3590.0
31,SO1990A21101,Somalia,SO,Awdal,Borama,Borama,Sorghum,Gu,2000,3,2000,8,All (PS),area,3400.0
32,SO1990A21101,Somalia,SO,Awdal,Borama,Borama,Sorghum,Gu,2001,3,2001,8,All (PS),area,2200.0
33,SO1990A21101,Somalia,SO,Awdal,Borama,Borama,Sorghum,Gu,2002,3,2002,8,All (PS),area,2500.0
34,SO1990A21101,Somalia,SO,Awdal,Borama,Borama,Sorghum,Gu,2003,3,2003,8,All (PS),area,4350.0
35,SO1990A21101,Somalia,SO,Awdal,Borama,Borama,Sorghum,Gu,2004,3,2004,8,All (PS),area,7500.0
36,SO1990A21101,Somalia,SO,Awdal,Borama,Borama,Sorghum,Gu,2005,3,2005,8,All (PS),area,4930.0
37,SO1990A21101,Somalia,SO,Awdal,Borama,Borama,Sorghum,Gu,2006,3,2006,8,All (PS),area,5000.0
38,SO1990A21101,Somalia,SO,Awdal,Borama,Borama,Sorghum,Gu,2007,3,2007,8,All (PS),area,4900.0
39,SO1990A21101,Somalia,SO,Awdal,Borama,Borama,Sorghum,Gu,2008,3,2008,8,All (PS),area,2450.0
40,SO1990A21101,Somalia,SO,Awdal,Borama,Borama,Sorghum,Gu,2009,3,2009,8,All (PS),area,2060.0
41,SO1990A21101,Somalia,SO,Awdal,Borama,Borama,Sorghum,Gu,2010,3,2010,8,All (PS),area,14456.0
42,SO1990A21101,Somalia,SO,Awdal,Borama,Borama,Sorghum,Gu,2011,3,2011,8,All (PS),area,9700.0
43,SO1990A21101,Somalia,SO,Awdal,Borama,Borama,Sorghum,Gu,2012,3,2012,8,All (PS),area,10000.0
44,SO1990A21101,Somalia,SO,Awdal,Borama,Borama,Sorghum,Gu,2013,3,2013,8,All (PS),area,12700.0
45,SO1990A21101,Somalia,SO,Awdal,Borama,Borama,Sorghum,Gu,2014,3,2014,8,All (PS),area,12500.0
46,SO1990A21101,Somalia,SO,Awdal,Borama,Borama,Sorghum,Gu,2015,3,2015,8,All (PS),area,7000.0
47,SO1990A21101,Somalia,SO,Awdal,Borama,Borama,Sorghum,Gu,2016,3,2016,8,All (PS),area,14300.0
48,SO1990A21101,Somalia,SO,Awdal,Borama,Borama,Sorghum,Gu,2017,3,2017,8,All (PS),area,5300.0
49,SO1990A21101,Somalia,SO,Awdal,Borama,Borama,Sorghum,Gu,2018,3,2018,8,All (PS),area,7500.0
50,SO1990A21101,Somalia,SO,Awdal,Borama,Borama,Sorghum,Gu,2019,3,2019,8,All (PS),area,11000.0
51,SO1990A21101,Somalia,SO,Awdal,Borama,Borama,Sorghum,Gu,2020,3,2020,8,All (PS),area,10500.0
52,SO1990A21101,Somalia,SO,Awdal,Borama,Borama,Sorghum,Gu,2021,3,2021,8,All (PS),area,11500.0
53,SO1990A21101,Somalia,SO,Awdal,Borama,Borama,Sorghum,Gu,2022,3,2022,8,All (PS),area,10500.0
54,SO1990A21101,Somalia,SO,Awdal,Borama,Borama,Sorghum,Gu,2023,3,2023,8,All (PS),area,9500.0
55,SO1990A21101,Somalia,SO,Awdal,Borama,Borama,Sorghum,Gu,2024,3,2024,8,All (PS),area,12000.0
56,SO1990A21101,Somalia,SO,Awdal,Borama,Borama,Sorghum,Gu,2025,3,2025,8,All (PS),area,7700.0
57,SO1990A21101,Somalia,SO,Awdal,Borama,Borama,Sorghum,Deyr,2024,10,2025,3,All (PS),area,12000.0
58,SO1990A21101,Somalia,SO,Awdal,Borama,Borama,Watermelon,Gu,2011,3,2011,8,All (PS),area,550.0
