,fnid,country,country_code,admin_1,admin_2,name,product,season_name,planting_year,planting_month,harvest_year,harvest_month,crop_production_system,indicator,value
0,SS2011A111,South Sudan,SS,Upper Nile,none,Upper Nile,Sorghum,Annual,1997,6,1998,5,irrigated,area,1680.0
1,SS2011A111,South Sudan,SS,Upper Nile,none,Upper Nile,Sorghum,Annual,1998,6,1999,5,irrigated,area,420.0
2,SS2011A111,South Sudan,SS,Upper Nile,none,Upper Nile,Sorghum,Annual,2000,6,2001,5,irrigated,area,4200.0
3,SS2011A111,South Sudan,SS,Upper Nile,none,Upper Nile,Sorghum,Annual,2001,6,2002,5,irrigated,area,8820.0
4,SS2011A111,South Sudan,SS,Upper Nile,none,Upper Nile,Sorghum,Annual,2002,6,2003,5,irrigated,area,8400.0
5,SS2011A111,South Sudan,SS,Upper Nile,none,Upper Nile,Sorghum,Annual,2003,6,2004,5,irrigated,area,6300.0
6,SS2011A111,South Sudan,SS,Upper Nile,none,Upper Nile,Sorghum,Annual,2004,6,2005,5,irrigated,area,3360.0
7,SS2011A111,South Sudan,SS,Upper Nile,none,Upper Nile,Sorghum,Annual,2005,6,2006,5,irrigated,area,840.0
8,SS2011A111,South Sudan,SS,Upper Nile,none,Upper Nile,Sorghum,Annual,2007,6,2008,5,irrigated,area,1680.0
9,SS2011A111,South Sudan,SS,Upper Nile,none,Upper Nile,Sorghum,Annual,2008,6,2009,5,irrigated,area,1680.0
10,SS2011A111,South Sudan,SS,Upper Nile,none,Upper Nile,Sorghum,Annual,2009,6,2010,5,irrigated,area,1680.0
11,SS2011A111,South Sudan,SS,Upper Nile,none,Upper Nile,Sorghum,Main,2006,4,2006,12,traditional_rainfed,area,42000.0
12,SS2011A111,South Sudan,SS,Upper Nile,none,Upper Nile,Sorghum,Main,2007,4,2007,12,traditional_rainfed,area,42000.0
13,SS2011A111,South Sudan,SS,Upper Nile,none,Upper Nile,Sorghum,Main,2008,4,2008,12,traditional_rainfed,area,6300.0
14,SS2011A111,South Sudan,SS,Upper Nile,none,Upper Nile,Sorghum,Main,1990,4,1990,12,mechanized_rainfed,area,165060.0
15,SS2011A111,South Sudan,SS,Upper Nile,none,Upper Nile,Sorghum,Main,1991,4,1991,12,mechanized_rainfed,area,294000.0
16,SS2011A111,South Sudan,SS,Upper Nile,none,Upper Nile,Sorghum,Main,1992,4,1992,12,mechanized_rainfed,area,189840.0
