,fnid,country,country_code,admin_1,admin_2,name,product,season_name,planting_year,planting_month,harvest_year,harvest_month,crop_production_system,indicator,value
0,TD2012A101,Chad,TD,Barh el Gazel,none,Barh el Gazel,Millet,Main,1983,6,1983,11,none,area,33418.988312201574
1,TD2012A101,Chad,TD,Barh el Gazel,none,Barh el Gazel,Millet,Main,1985,6,1985,11,none,area,64425.56557851174
2,TD2012A101,Chad,TD,Barh el Gazel,none,Barh el Gazel,Millet,Main,1986,6,1986,11,none,area,24649.16462772575
3,TD2012A101,Chad,TD,Barh el Gazel,none,Barh el Gazel,Millet,Main,1987,6,1987,11,none,area,10288.223578066303
4,TD2012A101,Chad,TD,Barh el Gazel,none,Barh el Gazel,Millet,Main,1988,6,1988,11,none,area,20063.455042550402
5,TD2012A101,Chad,TD,Barh el Gazel,none,Barh el Gazel,Millet,Main,1989,6,1989,11,none,area,15802.001883249284
6,TD2012A101,Chad,TD,Barh el Gazel,none,Barh el Gazel,Millet,Main,1990,6,1990,11,none,area,27104.147633250534
7,TD2012A101,Chad,TD,Barh el Gazel,none,Barh el Gazel,Millet,Main,1991,6,1991,11,none,area,7804.859266119264
8,TD2012A101,Chad,TD,Barh el Gazel,none,Barh el Gazel,Millet,Main,1992,6,1992,11,none,area,25826.9888442492
9,TD2012A101,Chad,TD,Barh el Gazel,none,Barh el Gazel,Millet,Main,1993,6,1993,11,none,area,24833.643119470384
10,TD2012A101,Chad,TD,Barh el Gazel,none,Barh el Gazel,Millet,Main,1994,6,1994,11,none,area,26323.66170663861
11,TD2012A101,Chad,TD,Barh el Gazel,none,Barh el Gazel,Millet,Main,1995,6,1995,11,none,area,26252.708440582977
12,TD2012A101,Chad,TD,Barh el Gazel,none,Barh el Gazel,Millet,Main,1998,6,1998,11,none,area,43991.02495449039
13,TD2012A101,Chad,TD,Barh el Gazel,none,Barh el Gazel,Millet,Main,2000,6,2000,11,none,area,28097.49335802935
14,TD2012A101,Chad,TD,Barh el Gazel,none,Barh el Gazel,Millet,Main,2001,6,2001,11,none,area,16056.724108388995
15,TD2012A101,Chad,TD,Barh el Gazel,none,Barh el Gazel,Millet,Main,2002,6,2002,11,none,area,17667.363247851787
16,TD2012A101,Chad,TD,Barh el Gazel,none,Barh el Gazel,Millet,Main,2003,6,2003,11,none,area,28381.30642225187
17,TD2012A101,Chad,TD,Barh el Gazel,none,Barh el Gazel,Millet,Main,2004,6,2004,11,none,area,26252.708440582977
18,TD2012A101,Chad,TD,Barh el Gazel,none,Barh el Gazel,Millet,Main,2005,6,2005,11,none,area,25897.94211030483
19,TD2012A101,Chad,TD,Barh el Gazel,none,Barh el Gazel,Millet,Main,2006,6,2006,11,none,area,27756.917680962328
20,TD2012A101,Chad,TD,Barh el Gazel,none,Barh el Gazel,Millet,Main,2007,6,2007,11,none,area,66241.96918953586
21,TD2012A101,Chad,TD,Barh el Gazel,none,Barh el Gazel,Millet,Main,2008,6,2008,11,none,area,68855.1779783647
22,TD2012A101,Chad,TD,Barh el Gazel,none,Barh el Gazel,Millet,Main,2009,6,2009,11,none,area,27529.867229584313
23,TD2012A101,Chad,TD,Barh el Gazel,none,Barh el Gazel,Millet,Main,2010,6,2010,11,none,area,33135.0
