,fnid,country,country_code,admin_1,admin_2,name,product,season_name,planting_year,planting_month,harvest_year,harvest_month,crop_production_system,indicator,value
0,TG2009A20101,Togo,TG,Kara,Bassar,Bassar,Sorghum,Main,1995,5,1995,11,All (PS),area,24433.0
1,TG2009A20101,Togo,TG,Kara,Bassar,Bassar,Sorghum,Main,1996,5,1996,11,All (PS),area,17319.0
2,TG2009A20101,Togo,TG,Kara,Bassar,Bassar,Sorghum,Main,1997,5,1997,11,All (PS),area,13204.0
3,TG2009A20101,Togo,TG,Kara,Bassar,Bassar,Sorghum,Main,1998,5,1998,11,All (PS),area,8015.0
4,TG2009A20101,Togo,TG,Kara,Bassar,Bassar,Sorghum,Main,1999,5,1999,11,All (PS),area,7441.0
5,TG2009A20101,Togo,TG,Kara,Bassar,Bassar,Sorghum,Main,2000,5,2000,11,All (PS),area,6331.0
6,TG2009A20101,Togo,TG,Kara,Bassar,Bassar,Sorghum,Main,2001,5,2001,11,All (PS),area,5622.0
7,TG2009A20101,Togo,TG,Kara,Bassar,Bassar,Sorghum,Main,2002,5,2002,11,All (PS),area,4586.0
8,TG2009A20101,Togo,TG,Kara,Bassar,Bassar,Sorghum,Main,2003,5,2003,11,All (PS),area,4964.0
9,TG2009A20101,Togo,TG,Kara,Bassar,Bassar,Sorghum,Main,2004,5,2004,11,All (PS),area,5196.0
10,TG2009A20101,Togo,TG,Kara,Bassar,Bassar,Sorghum,Main,2005,5,2005,11,All (PS),area,3758.0
11,TG2009A20101,Togo,TG,Kara,Bassar,Bassar,Sorghum,Main,2006,5,2006,11,All (PS),area,5114.0
12,TG2009A20101,Togo,TG,Kara,Bassar,Bassar,Sorghum,Main,2007,5,2007,11,All (PS),area,5202.0
13,TG2009A20101,Togo,TG,Kara,Bassar,Bassar,Sorghum,Main,2008,5,2008,11,All (PS),area,5904.0
14,TG2009A20101,Togo,TG,Kara,Bassar,Bassar,Sorghum,Main,2009,5,2009,11,All (PS),area,5938.0
15,TG2009A20101,Togo,TG,Kara,Bassar,Bassar,Sorghum,Main,2010,5,2010,11,All (PS),area,6186.0
16,TG2009A20101,Togo,TG,Kara,Bassar,Bassar,Sorghum,Main,2011,5,2011,11,All (PS),area,6408.0
17,TG2009A20101,Togo,TG,Kara,Bassar,Bassar,Sorghum,Main,2012,5,2012,11,All (PS),area,6109.0
18,TG2009A20101,Togo,TG,Kara,Bassar,Bassar,Sorghum,Main,2015,5,2015,11,All (PS),area,15882.0
19,TG2009A20101,Togo,TG,Kara,Bassar,Bassar,Maize,Main,1995,5,1995,11,All (PS),area,8144.0
20,TG2009A20101,Togo,TG,Kara,Bassar,Bassar,Maize,Main,1996,5,1996,11,All (PS),area,8301.0
21,TG2009A20101,Togo,TG,Kara,Bassar,Bassar,Maize,Main,1997,5,1997,11,All (PS),area,8325.0
22,TG2009A20101,Togo,TG,Kara,Bassar,Bassar,Maize,Main,1998,5,1998,11,All (PS),area,7247.0
23,TG2009A20101,Togo,TG,Kara,Bassar,Bassar,Maize,Main,1999,5,1999,11,All (PS),area,5947.0
24,TG2009A20101,Togo,TG,Kara,Bassar,Bassar,Maize,Main,2000,5,2000,11,All (PS),area,5692.0
25,TG2009A20101,Togo,TG,Kara,Bassar,Bassar,Maize,Main,2001,5,2001,11,All (PS),area,5288.0
26,TG2009A20101,Togo,TG,Kara,Bassar,Bassar,Maize,Main,2002,5,2002,11,All (PS),area,4532.0
27,TG2009A20101,Togo,TG,Kara,Bassar,Bassar,Maize,Main,2003,5,2003,11,All (PS),area,4033.0
28,TG2009A20101,Togo,TG,Kara,Bassar,Bassar,Maize,Main,2004,5,2004,11,All (PS),area,5002.0
29,TG2009A20101,Togo,TG,Kara,Bassar,Bassar,Maize,Main,2005,5,2005,11,All (PS),area,2009.0
30,TG2009A20101,Togo,TG,Kara,Bassar,Bassar,Maize,Main,2006,5,2006,11,All (PS),area,2038.0
31,TG2009A20101,Togo,TG,Kara,Bassar,Bassar,Maize,Main,2007,5,2007,11,All (PS),area,3223.0
32,TG2009A20101,Togo,TG,Kara,Bassar,Bassar,Maize,Main,2008,5,2008,11,All (PS),area,2361.0
33,TG2009A20101,Togo,TG,Kara,Bassar,Bassar,Maize,Main,2009,5,2009,11,All (PS),area,2709.0
34,TG2009A20101,Togo,TG,Kara,Bassar,Bassar,Maize,Main,2010,5,2010,11,All (PS),area,2817.0
35,TG2009A20101,Togo,TG,Kara,Bassar,Bassar,Maize,Main,2011,5,2011,11,All (PS),area,2898.0
36,TG2009A20101,Togo,TG,Kara,Bassar,Bassar,Maize,Main,2012,5,2012,11,All (PS),area,2496.0
37,TG2009A20101,Togo,TG,Kara,Bassar,Bassar,Maize,Main,2015,5,2015,11,All (PS),area,7749.0
38,TG2009A20101,Togo,TG,Kara,Bassar,Bassar,Millet,Main,1995,5,1995,11,All (PS),area,2228.0
39,TG2009A20101,Togo,TG,Kara,Bassar,Bassar,Millet,Main,1996,5,1996,11,All (PS),area,648.0
40,TG2009A20101,Togo,TG,Kara,Bassar,Bassar,Millet,Main,1997,5,1997,11,All (PS),area,5616.0
41,TG2009A20101,Togo,TG,Kara,Bassar,Bassar,Millet,Main,1998,5,1998,11,All (PS),area,2864.0
42,TG2009A20101,Togo,TG,Kara,Bassar,Bassar,Millet,Main,1999,5,1999,11,All (PS),area,3734.0
43,TG2009A20101,Togo,TG,Kara,Bassar,Bassar,Millet,Main,2000,5,2000,11,All (PS),area,4490.0
44,TG2009A20101,Togo,TG,Kara,Bassar,Bassar,Millet,Main,2001,5,2001,11,All (PS),area,3788.0
45,TG2009A20101,Togo,TG,Kara,Bassar,Bassar,Millet,Main,2002,5,2002,11,All (PS),area,3985.0
46,TG2009A20101,Togo,TG,Kara,Bassar,Bassar,Millet,Main,2003,5,2003,11,All (PS),area,4308.0
47,TG2009A20101,Togo,TG,Kara,Bassar,Bassar,Millet,Main,2004,5,2004,11,All (PS),area,4063.0
48,TG2009A20101,Togo,TG,Kara,Bassar,Bassar,Millet,Main,2005,5,2005,11,All (PS),area,4275.0
49,TG2009A20101,Togo,TG,Kara,Bassar,Bassar,Millet,Main,2006,5,2006,11,All (PS),area,3479.0
50,TG2009A20101,Togo,TG,Kara,Bassar,Bassar,Millet,Main,2007,5,2007,11,All (PS),area,4958.0
51,TG2009A20101,Togo,TG,Kara,Bassar,Bassar,Millet,Main,2008,5,2008,11,All (PS),area,4746.0
52,TG2009A20101,Togo,TG,Kara,Bassar,Bassar,Millet,Main,2009,5,2009,11,All (PS),area,4765.0
53,TG2009A20101,Togo,TG,Kara,Bassar,Bassar,Millet,Main,2010,5,2010,11,All (PS),area,5070.0
54,TG2009A20101,Togo,TG,Kara,Bassar,Bassar,Millet,Main,2011,5,2011,11,All (PS),area,5178.0
55,TG2009A20101,Togo,TG,Kara,Bassar,Bassar,Millet,Main,2012,5,2012,11,All (PS),area,4940.0
56,TG2009A20101,Togo,TG,Kara,Bassar,Bassar,Millet,Main,2015,5,2015,11,All (PS),area,3889.0
57,TG2009A20101,Togo,TG,Kara,Bassar,Bassar,Cotton,Main,2015,5,2015,11,All (PS),area,53.0
58,TG2009A20101,Togo,TG,Kara,Bassar,Bassar,Rice,Annual,2015,5,2015,11,All (PS),area,11.0
59,TG2009A20101,Togo,TG,Kara,Bassar,Bassar,Cassava,Main,2015,5,2015,11,All (PS),area,9439.0
60,TG2009A20101,Togo,TG,Kara,Bassar,Bassar,Yams,Main,2015,5,2015,11,All (PS),area,6089.0
61,TG2009A20101,Togo,TG,Kara,Bassar,Bassar,Beans (mixed),Main,2015,5,2015,11,All (PS),area,5653.0
62,TG2009A20101,Togo,TG,Kara,Bassar,Bassar,Groundnuts (In Shell),Main,2015,5,2015,11,All (PS),area,6978.0
63,TG2009A20101,Togo,TG,Kara,Bassar,Bassar,Sweet Potatoes,Main,2015,5,2015,11,All (PS),area,32.0
