,fnid,country,country_code,admin_1,admin_2,name,product,season_name,planting_year,planting_month,harvest_year,harvest_month,crop_production_system,indicator,value
0,ZA1994A101,South Africa,ZA,Western Cape,none,Western Cape,Wheat,Winter,1979,5,1979,11,Commercial (PS),area,547000.0
1,ZA1994A101,South Africa,ZA,Western Cape,none,Western Cape,Wheat,Winter,1980,5,1980,11,Commercial (PS),area,543000.0
2,ZA1994A101,South Africa,ZA,Western Cape,none,Western Cape,Wheat,Winter,1981,5,1981,11,Commercial (PS),area,533000.0
3,ZA1994A101,South Africa,ZA,Western Cape,none,Western Cape,Wheat,Winter,1982,5,1982,11,Commercial (PS),area,553000.0
4,ZA1994A101,South Africa,ZA,Western Cape,none,Western Cape,Wheat,Winter,1983,5,1983,11,Commercial (PS),area,570000.0
5,ZA1994A101,South Africa,ZA,Western Cape,none,Western Cape,Wheat,Winter,1984,5,1984,11,Commercial (PS),area,644000.0
6,ZA1994A101,South Africa,ZA,Western Cape,none,Western Cape,Wheat,Winter,1985,5,1985,11,Commercial (PS),area,677000.0
7,ZA1994A101,South Africa,ZA,Western Cape,none,Western Cape,Wheat,Winter,1986,5,1986,11,Commercial (PS),area,687000.0
8,ZA1994A101,South Africa,ZA,Western Cape,none,Western Cape,Wheat,Winter,1987,5,1987,11,Commercial (PS),area,660000.0
9,ZA1994A101,South Africa,ZA,Western Cape,none,Western Cape,Wheat,Winter,1988,5,1988,11,Commercial (PS),area,653000.0
10,ZA1994A101,South Africa,ZA,Western Cape,none,Western Cape,Wheat,Winter,1989,5,1989,11,Commercial (PS),area,512000.0
11,ZA1994A101,South Africa,ZA,Western Cape,none,Western Cape,Wheat,Winter,1990,5,1990,11,Commercial (PS),area,334576.0
12,ZA1994A101,South Africa,ZA,Western Cape,none,Western Cape,Wheat,Winter,1991,5,1991,11,Commercial (PS),area,327563.0
13,ZA1994A101,South Africa,ZA,Western Cape,none,Western Cape,Wheat,Winter,1992,5,1992,11,Commercial (PS),area,334932.0
14,ZA1994A101,South Africa,ZA,Western Cape,none,Western Cape,Wheat,Winter,1993,5,1993,11,Commercial (PS),area,417997.0
15,ZA1994A101,South Africa,ZA,Western Cape,none,Western Cape,Wheat,Winter,1994,5,1994,11,Commercial (PS),area,397795.0
16,ZA1994A101,South Africa,ZA,Western Cape,none,Western Cape,Wheat,Winter,1995,5,1995,11,Commercial (PS),area,400800.0
17,ZA1994A101,South Africa,ZA,Western Cape,none,Western Cape,Wheat,Winter,1996,5,1996,11,Commercial (PS),area,403000.0
18,ZA1994A101,South Africa,ZA,Western Cape,none,Western Cape,Wheat,Winter,1997,5,1997,11,Commercial (PS),area,400000.0
19,ZA1994A101,South Africa,ZA,Western Cape,none,Western Cape,Wheat,Winter,1998,5,1998,11,Commercial (PS),area,300000.0
20,ZA1994A101,South Africa,ZA,Western Cape,none,Western Cape,Wheat,Winter,1999,5,1999,11,Commercial (PS),area,310000.0
21,ZA1994A101,South Africa,ZA,Western Cape,none,Western Cape,Wheat,Winter,2000,5,2000,11,Commercial (PS),area,345500.0
22,ZA1994A101,South Africa,ZA,Western Cape,none,Western Cape,Wheat,Winter,2001,5,2001,11,Commercial (PS),area,345000.0
23,ZA1994A101,South Africa,ZA,Western Cape,none,Western Cape,Wheat,Winter,2002,5,2002,11,Commercial (PS),area,364000.0
24,ZA1994A101,South Africa,ZA,Western Cape,none,Western Cape,Wheat,Winter,2003,5,2003,11,Commercial (PS),area,325000.0
25,ZA1994A101,South Africa,ZA,Western Cape,none,Western Cape,Wheat,Winter,2004,5,2004,11,Commercial (PS),area,354000.0
26,ZA1994A101,South Africa,ZA,Western Cape,none,Western Cape,Wheat,Winter,2005,5,2005,11,Commercial (PS),area,302000.0
