,fnid,country,country_code,admin_1,admin_2,name,product,season_name,planting_year,planting_month,harvest_year,harvest_month,crop_production_system,indicator,value
0,ZM2011A20101,Zambia,ZM,Central,Chibombo,Chibombo,Wheat,Annual,1997,11,1998,5,none,area,375.1125401929261
1,ZM2011A20101,Zambia,ZM,Central,Chibombo,Chibombo,Wheat,Annual,1998,11,1999,5,none,area,552.7974276527332
2,ZM2011A20101,Zambia,ZM,Central,Chibombo,Chibombo,Wheat,Annual,2002,11,2003,5,none,area,4036.4083601286175
3,ZM2011A20101,Zambia,ZM,Central,Chibombo,Chibombo,Wheat,Annual,2003,11,2004,5,none,area,779.8392282958199
4,ZM2011A20101,Zambia,ZM,Central,Chibombo,Chibombo,Wheat,Annual,2004,11,2005,5,none,area,1642.59807073955
5,ZM2011A20101,Zambia,ZM,Central,Chibombo,Chibombo,Wheat,Annual,2005,11,2006,5,none,area,1184.5659163987139
6,ZM2011A20101,Zambia,ZM,Central,Chibombo,Chibombo,Wheat,Annual,2006,11,2007,5,none,area,1963.1632605948553
7,ZM2011A20101,Zambia,ZM,Central,Chibombo,Chibombo,Wheat,Annual,2007,11,2008,5,none,area,1760.0675241157558
8,ZM2011A20101,Zambia,ZM,Central,Chibombo,Chibombo,Wheat,Annual,2008,11,2009,5,none,area,2112.18961414791
9,ZM2011A20101,Zambia,ZM,Central,Chibombo,Chibombo,Wheat,Annual,2010,11,2011,5,none,area,1965.3922829581993
10,ZM2011A20101,Zambia,ZM,Central,Chibombo,Chibombo,Wheat,Annual,2011,11,2012,5,none,area,6751.0989011
11,ZM2011A20101,Zambia,ZM,Central,Chibombo,Chibombo,Wheat,Annual,2012,11,2013,5,none,area,1776.20049505
12,ZM2011A20101,Zambia,ZM,Central,Chibombo,Chibombo,Wheat,Annual,2013,11,2014,5,none,area,4571.80952381
13,ZM2011A20101,Zambia,ZM,Central,Chibombo,Chibombo,Wheat,Annual,2014,11,2015,5,none,area,5130.63157895
14,ZM2011A20101,Zambia,ZM,Central,Chibombo,Chibombo,Wheat,Annual,2015,11,2016,5,none,area,2663.65
15,ZM2011A20101,Zambia,ZM,Central,Chibombo,Chibombo,Wheat,Annual,2016,11,2017,5,none,area,3186.4893617
16,ZM2011A20101,Zambia,ZM,Central,Chibombo,Chibombo,Sweet Potatoes,Annual,1998,11,1999,5,none,area,2158.871382636656
17,ZM2011A20101,Zambia,ZM,Central,Chibombo,Chibombo,Sweet Potatoes,Annual,2000,11,2001,5,none,area,2072.990353697749
18,ZM2011A20101,Zambia,ZM,Central,Chibombo,Chibombo,Sweet Potatoes,Annual,2001,11,2002,5,none,area,1067.4518327974276
19,ZM2011A20101,Zambia,ZM,Central,Chibombo,Chibombo,Sweet Potatoes,Annual,2002,11,2003,5,none,area,1220.6655627009645
20,ZM2011A20101,Zambia,ZM,Central,Chibombo,Chibombo,Sweet Potatoes,Annual,2003,11,2004,5,none,area,767.1347588424437
21,ZM2011A20101,Zambia,ZM,Central,Chibombo,Chibombo,Sweet Potatoes,Annual,2004,11,2005,5,none,area,939.7556270096463
22,ZM2011A20101,Zambia,ZM,Central,Chibombo,Chibombo,Sweet Potatoes,Annual,2005,11,2006,5,none,area,3174.636655948553
23,ZM2011A20101,Zambia,ZM,Central,Chibombo,Chibombo,Sweet Potatoes,Annual,2006,11,2007,5,none,area,1534.2606009044373
24,ZM2011A20101,Zambia,ZM,Central,Chibombo,Chibombo,Sweet Potatoes,Annual,2007,11,2008,5,none,area,681.1254019292604
25,ZM2011A20101,Zambia,ZM,Central,Chibombo,Chibombo,Sweet Potatoes,Annual,2008,11,2009,5,none,area,3686.665273311897
26,ZM2011A20101,Zambia,ZM,Central,Chibombo,Chibombo,Sweet Potatoes,Annual,2009,11,2010,5,none,area,4094.6852712109007
27,ZM2011A20101,Zambia,ZM,Central,Chibombo,Chibombo,Sweet Potatoes,Annual,2010,11,2011,5,none,area,2041.0456274394535
28,ZM2011A20101,Zambia,ZM,Central,Chibombo,Chibombo,Sweet Potatoes,Annual,2011,11,2012,5,none,area,1660.25763323
