,country,source_organization,source_document,geographic_unit_full_name,geographic_unit_name,fnid,admin_0,admin_1,admin_2,admin_3,admin_4,population_group,crop_production_system,start_date,period_date,season_name,season_type,season_date,season_year,planting_start_date,planting_end_date,harvest_start_date,harvest_end_date,vegetative_start_date,vegetative_end_date,reproductive_start_date,reproductive_end_date,document_type,preference_rating,indicator_group,indicator,status,value,population,value_per_capita,product,country_code,locality_name,unit,unit_name,cpcv2,cpcv2_description,geographic_group,fewsnet_region,id,datacollectionperiod,datacollection,datasourcedocument,datasourceorganization,indicator_abbreviation,locality,geographic_unit,season,dataseries,dataseries_name,specialization_type,dataseries_specialization_type,data_usage_policy,created,modified,status_changed,collection_status,collection_status_changed,collection_schedule,collection_date,publication_name,submitted_by
0,South Africa,"Crop Estimates Committee, South Africa","CEC, South Africa","Western Cape, South Africa",Western Cape,ZA1994A101,South Africa,Western Cape,,,,,Commercial (PS),2025-12-01,2025-12-31,Winter,Harvest,2025-04-01,Winter 2025,,,,,,,,,crop_final,,Crop Production,Area Harvested,Not Collected,,7218030.0,,Canola seed,ZA,"Western Cape, South Africa (From 01/01/1994): Commercial (PS)",ha,hectare,R01446AB,"Oilseed, canola",Southern Africa,International,39868057,356126,366538,2499,838,crop:harvested,116610,29873,739,7708023,"CEC, South Africa: Western Cape, South Africa (From 01/01/1994): Commercial (PS): R01446AB / Canola seed: Winter: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2025-12-24T00:06:07,2025-12-24T00:14:20,2025-12-24T00:09:21,Published,2025-12-24T00:14:20,Ad Hoc,2025-12-31,"RSA Statistics Directorate database, South Africa",
1,South Africa,"Crop Estimates Committee, South Africa","CEC, South Africa","Western Cape, South Africa",Western Cape,ZA1994A101,South Africa,Western Cape,,,,,Commercial (PS),2025-12-01,2025-12-31,Winter,Harvest,2025-04-01,Winter 2025,,,,,,,,,crop_final,,Crop Production,Area Harvested,Not Collected,,7218030.0,,Oats (Unspecified),ZA,"Western Cape, South Africa (From 01/01/1994): Commercial (PS)",ha,hectare,R01172AA,"Oats, grain, unspecified",Southern Africa,International,39868053,356126,366538,2499,838,crop:harvested,116610,29873,739,7708025,"CEC, South Africa: Western Cape, South Africa (From 01/01/1994): Commercial (PS): R01172AA / Oats (Unspecified): Winter: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2025-12-24T00:06:07,2025-12-24T00:14:20,2025-12-24T00:09:21,Published,2025-12-24T00:14:20,Ad Hoc,2025-12-31,"RSA Statistics Directorate database, South Africa",
2,South Africa,"Crop Estimates Committee, South Africa","CEC, South Africa","Western Cape, South Africa",Western Cape,ZA1994A101,South Africa,Western Cape,,,,,Commercial (PS),2025-12-01,2025-12-31,Winter,Harvest,2025-04-01,Winter 2025,,,,,,,,,crop_final,,Crop Production,Area Harvested,Not Collected,,7218030.0,,Barley (Unspecified),ZA,"Western Cape, South Africa (From 01/01/1994): Commercial (PS)",ha,hectare,R01152AA,"Barley grain, unspecified",Southern Africa,International,39868052,356126,366538,2499,838,crop:harvested,116610,29873,739,7708022,"CEC, South Africa: Western Cape, South Africa (From 01/01/1994): Commercial (PS): R01152AA / Barley (Unspecified): Winter: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2025-12-24T00:06:07,2025-12-24T00:14:20,2025-12-24T00:09:21,Published,2025-12-24T00:14:20,Ad Hoc,2025-12-31,"RSA Statistics Directorate database, South Africa",
3,South Africa,"Crop Estimates Committee, South Africa","CEC, South Africa","Western Cape, South Africa",Western Cape,ZA1994A101,South Africa,Western Cape,,,,,Commercial (PS),2025-12-01,2025-12-31,Winter,Harvest,2025-04-01,Winter 2025,,,,,,,,,crop_final,,Crop Production,Area Harvested,Not Collected,,7218030.0,,Wheat Grain,ZA,"Western Cape, South Africa (From 01/01/1994): Commercial (PS)",ha,hectare,R01112AA,"Wheat grain, other",Southern Africa,International,39868048,356126,366538,2499,838,crop:harvested,116610,29873,739,7708014,"CEC, South Africa: Western Cape, South Africa (From 01/01/1994): Commercial (PS): R01112AA / Wheat Grain: Winter: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2025-12-24T00:06:07,2025-12-24T00:14:20,2025-12-24T00:09:21,Published,2025-12-24T00:14:20,Ad Hoc,2025-12-31,"RSA Statistics Directorate database, South Africa",
4,South Africa,"Crop Estimates Committee, South Africa","CEC, South Africa","Western Cape, South Africa",Western Cape,ZA1994A101,South Africa,Western Cape,,,,,Commercial (PS),2025-04-01,2025-04-30,Summer,Harvest,2025-04-30,Summer 2025,,,,,,,,,crop_final,,Crop Production,Area Harvested,Collected,0.0,7218030.0,0.0,Groundnuts (In Shell),ZA,"Western Cape, South Africa (From 01/01/1994): Commercial (PS)",ha,hectare,R01422AA,"Groundnuts in shell, not specified",Southern Africa,International,39868055,356127,366539,2499,838,crop:harvested,116610,29873,738,7708015,"CEC, South Africa: Western Cape, South Africa (From 01/01/1994): Commercial (PS): R01422AA / Groundnuts (In Shell): Summer: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2025-12-24T00:06:07,2025-12-24T00:14:20,2025-12-24T00:09:21,Published,2025-12-24T00:14:20,Ad Hoc,2025-04-30,"RSA Statistics Directorate database, South Africa",
5,South Africa,"Crop Estimates Committee, South Africa","CEC, South Africa","Western Cape, South Africa",Western Cape,ZA1994A101,South Africa,Western Cape,,,,,Commercial (PS),2025-04-01,2025-04-30,Summer,Harvest,2025-04-30,Summer 2025,,,,,,,,,crop_final,,Crop Production,Area Harvested,Not Collected,,7218030.0,,Maize Grain (White),ZA,"Western Cape, South Africa (From 01/01/1994): Commercial (PS)",ha,hectare,R01122AC,"Maize grain (corn), other, white",Southern Africa,International,39868050,356127,366539,2499,838,crop:harvested,116610,29873,738,7708017,"CEC, South Africa: Western Cape, South Africa (From 01/01/1994): Commercial (PS): R01122AC / Maize Grain (White): Summer: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2025-12-24T00:06:07,2025-12-24T00:14:20,2025-12-24T00:09:21,Published,2025-12-24T00:14:20,Ad Hoc,2025-04-30,"RSA Statistics Directorate database, South Africa",
6,South Africa,"Crop Estimates Committee, South Africa","CEC, South Africa","Western Cape, South Africa",Western Cape,ZA1994A101,South Africa,Western Cape,,,,,Commercial (PS),2025-04-01,2025-04-30,Summer,Harvest,2025-04-30,Summer 2025,,,,,,,,,crop_final,,Crop Production,Area Harvested,Not Collected,,7218030.0,,Maize Grain (Yellow),ZA,"Western Cape, South Africa (From 01/01/1994): Commercial (PS)",ha,hectare,R01122AB,"Maize grain (corn), other, yellow",Southern Africa,International,39868049,356127,366539,2499,838,crop:harvested,116610,29873,738,7708016,"CEC, South Africa: Western Cape, South Africa (From 01/01/1994): Commercial (PS): R01122AB / Maize Grain (Yellow): Summer: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2025-12-24T00:06:07,2025-12-24T00:14:20,2025-12-24T00:09:21,Published,2025-12-24T00:14:20,Ad Hoc,2025-04-30,"RSA Statistics Directorate database, South Africa",
7,South Africa,"Crop Estimates Committee, South Africa","CEC, South Africa","Western Cape, South Africa",Western Cape,ZA1994A101,South Africa,Western Cape,,,,,Commercial (PS),2025-04-01,2025-04-30,Summer,Harvest,2025-04-30,Summer 2025,,,,,,,,,crop_final,,Crop Production,Area Harvested,Not Collected,,7218030.0,,Beans (mixed),ZA,"Western Cape, South Africa (From 01/01/1994): Commercial (PS)",ha,hectare,R01701AA,Common bean family,Southern Africa,International,39868058,356127,366539,2499,838,crop:harvested,116610,29873,738,7708021,"CEC, South Africa: Western Cape, South Africa (From 01/01/1994): Commercial (PS): R01701AA / Beans (mixed): Summer: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2025-12-24T00:06:07,2025-12-24T00:14:20,2025-12-24T00:09:21,Published,2025-12-24T00:14:20,Ad Hoc,2025-04-30,"RSA Statistics Directorate database, South Africa",
8,South Africa,"Crop Estimates Committee, South Africa","CEC, South Africa","Western Cape, South Africa",Western Cape,ZA1994A101,South Africa,Western Cape,,,,,Commercial (PS),2025-04-01,2025-04-30,Summer,Harvest,2025-04-30,Summer 2025,,,,,,,,,crop_final,,Crop Production,Area Harvested,Collected,0.0,7218030.0,0.0,Sorghum,ZA,"Western Cape, South Africa (From 01/01/1994): Commercial (PS)",ha,hectare,R01142AA,"Sorghum grain, other",Southern Africa,International,39868051,356127,366539,2499,838,crop:harvested,116610,29873,738,7708018,"CEC, South Africa: Western Cape, South Africa (From 01/01/1994): Commercial (PS): R01142AA / Sorghum: Summer: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2025-12-24T00:06:07,2025-12-24T00:14:20,2025-12-24T00:09:21,Published,2025-12-24T00:14:20,Ad Hoc,2025-04-30,"RSA Statistics Directorate database, South Africa",
9,South Africa,"Crop Estimates Committee, South Africa","CEC, South Africa","Western Cape, South Africa",Western Cape,ZA1994A101,South Africa,Western Cape,,,,,Commercial (PS),2025-04-01,2025-04-30,Summer,Harvest,2025-04-30,Summer 2025,,,,,,,,,crop_final,,Crop Production,Area Harvested,Collected,0.0,7218030.0,0.0,Soybean (unspecified),ZA,"Western Cape, South Africa (From 01/01/1994): Commercial (PS)",ha,hectare,R01412AA,"Oilseed, Soybean",Southern Africa,International,39868054,356127,366539,2499,838,crop:harvested,116610,29873,738,7708019,"CEC, South Africa: Western Cape, South Africa (From 01/01/1994): Commercial (PS): R01412AA / Soybean (unspecified): Summer: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2025-12-24T00:06:07,2025-12-24T00:14:20,2025-12-24T00:09:21,Published,2025-12-24T00:14:20,Ad Hoc,2025-04-30,"RSA Statistics Directorate database, South Africa",
