,country,crop,outlier_cnt,low_variance_cnt,outlier_pct,low_variance_pct
0,Angola,Banana,0,0,0.0,0.0
5,Angola,Beans (mixed),0,0,0.0,0.0
12,Angola,Cassava,0,0,0.0,0.0
23,Angola,Chili Pepper,0,0,0.0,0.0
26,Angola,Coffee,0,0,0.0,0.0
27,Angola,Groundnuts (In Shell),0,5,0.0,1.9230769230769231
34,Angola,Maize,0,0,0.0,0.0
55,Angola,Onions,0,0,0.0,0.0
58,Angola,Pineapple,0,0,0.0,0.0
61,Angola,Potato,0,4,0.0,1.8604651162790697
75,Angola,Sorghum,0,0,0.0,0.0
80,Angola,Soybean,0,0,0.0,0.0
81,Angola,Sweet Potatoes,0,0,0.0,0.0
98,Angola,Tomato,0,0,0.0,0.0
129,Angola,Cabbage,0,0,0.0,0.0
132,Angola,Carrots,0,0,0.0,0.0
158,Angola,Garlic,0,0,0.0,0.0
162,Angola,Green Bean,0,0,0.0,0.0
201,Angola,Melon,0,0,0.0,0.0
204,Angola,Millet,0,0,0.0,0.0
217,Angola,Okras,0,0,0.0,0.0
237,Angola,Rice,0,0,0.0,0.0
277,Angola,Watermelon,0,0,0.0,0.0
465,Angola,Avocado,0,0,0.0,0.0
890,Angola,Wheat,0,0,0.0,0.0
943,Angola,Cowpea,0,0,0.0,0.0
2751,Burkina Faso,Bambara groundnut,13,0,0.8425145819831497,0.0
2790,Burkina Faso,Cotton,4,0,0.3276003276003276,0.0
2817,Burkina Faso,Cowpea,20,4,1.2978585334198571,0.25957170668397145
2856,Burkina Faso,Groundnuts (In Shell),2,0,0.12292562999385372,0.0
2896,Burkina Faso,Maize,5,4,0.282326369282891,0.22586109542631283
2943,Burkina Faso,Millet,1,0,0.05970149253731343,0.0
2983,Burkina Faso,Rice,1,0,0.0475511174512601,0.0
3033,Burkina Faso,Sesame Seed,7,0,0.5035971223021583,0.0
3069,Burkina Faso,Sorghum,12,0,0.7172743574417214,0.0
3109,Burkina Faso,Sorghum (Red),0,0,0.0,0.0
3125,Burkina Faso,Soybean,2,0,0.2518891687657431,0.0
3142,Burkina Faso,Sweet Potatoes,2,0,0.3021148036253776,0.0
3679,Burkina Faso,Fonio,0,0,0.0,0.0
4015,Burkina Faso,Yams,0,0,0.0,0.0
8183,Burkina Faso,Potato,0,0,0.0,0.0
20089,Burundi,Banana,0,0,0.0,0.0
20137,Burundi,Beans (mixed),0,0,0.0,0.0
20180,Burundi,Bush Bean,0,0,0.0,0.0
20189,Burundi,Cassava,0,0,0.0,0.0
20241,Burundi,Cowpea,0,0,0.0,0.0
20250,Burundi,Groundnuts (In Shell),0,0,0.0,0.0
20258,Burundi,Maize,0,0,0.0,0.0
20310,Burundi,Pea,0,0,0.0,0.0
20353,Burundi,Pigeon Pea,0,0,0.0,0.0
20356,Burundi,Pole Bean,0,0,0.0,0.0
20364,Burundi,Potato,0,0,0.0,0.0
20374,Burundi,Rice,0,0,0.0,0.0
20392,Burundi,Sorghum,0,0,0.0,0.0
20411,Burundi,Soybean,0,0,0.0,0.0
20418,Burundi,Sweet Potatoes,0,0,0.0,0.0
20464,Burundi,Taro,0,0,0.0,0.0
20508,Burundi,Yams,0,0,0.0,0.0
20707,Burundi,Millet,0,0,0.0,0.0
20925,Burundi,Wheat,0,0,0.0,0.0
21839,Burundi,Sunflower Seed,0,0,0.0,0.0
27772,Benin,Bambara groundnut,10,22,0.8598452278589854,1.891659501289768
27798,Benin,Cabbage,0,0,0.0,0.0
27805,Benin,Carrots,0,0,0.0,0.0
27812,Benin,Cashew (unshelled),0,0,0.0,0.0
27814,Benin,Cassava,7,12,0.3186162949476559,0.5461993627674101
27841,Benin,Chili Pepper,20,4,1.021972406745018,0.20439448134900357
27868,Benin,Cotton,4,0,0.3663003663003663,0.0
27889,Benin,Cowpea,10,10,0.45662100456621,0.45662100456621
27918,Benin,Cucumber,0,0,0.0,0.0
27925,Benin,Eggplant,0,0,0.0,0.0
27938,Benin,Goussi,28,21,2.5431425976385102,1.9073569482288828
27960,Benin,Groundnuts (In Shell),6,4,0.2744739249771272,0.18298261665141813
27989,Benin,Lettuce,0,0,0.0,0.0
28001,Benin,Maize,5,4,0.22563176895306858,0.18050541516245489
28030,Benin,Millet,2,13,0.28776978417266186,1.870503597122302
28051,Benin,Molokhia,0,5,0.0,1.1990407673860912
28057,Benin,Okras,9,8,0.5988023952095808,0.5322687957418496
28080,Benin,Onions,2,0,0.5420054200542005,0.0
28082,Benin,Rice,2,19,0.11467889908256881,1.0894495412844036
28111,Benin,Sorghum,14,13,1.1725293132328307,1.0887772194304857
28140,Benin,Soybean,4,10,0.30557677616501144,0.7639419404125286
28165,Benin,Sweet Potatoes,6,6,0.293398533007335,0.293398533007335
28194,Benin,Tomato,14,8,0.712468193384224,0.4071246819338422
28220,Benin,Watermelon,0,0,0.0,0.0
28226,Benin,Yams,1,23,0.07092198581560284,1.6312056737588652
28534,Benin,Pigeon Pea,5,8,0.6648936170212766,1.0638297872340425
28568,Benin,Sesame Seed,3,0,1.4705882352941178,0.0
30539,Benin,Taro,8,14,1.5779092702169626,2.7613412228796843
31765,Benin,Sugarcane,0,0,0.0,0.0
32945,Benin,Geocarpa groundnut,1,4,0.22727272727272727,0.9090909090909091
35521,Benin,Tobacco,0,0,0.0,0.0
38424,Benin,Pineapple,0,0,0.0,0.0
40708,Benin,Coffee,0,0,0.0,0.0
40776,Benin,Fonio,2,0,1.1428571428571428,0.0
40960,Benin,Potato,0,0,0.0,0.0
59476,"Congo, The Democratic Republic of the",Banana,0,0,0.0,0.0
59487,"Congo, The Democratic Republic of the",Beans (mixed),0,0,0.0,0.0
59494,"Congo, The Democratic Republic of the",Cassava,0,0,0.0,0.0
59505,"Congo, The Democratic Republic of the",Maize,0,0,0.0,0.0
59516,"Congo, The Democratic Republic of the",Rice,0,0,0.0,0.0
60471,Central African Republic,Cassava,0,0,0.0,0.0
60474,Central African Republic,Groundnuts (In Shell),0,0,0.0,0.0
60477,Central African Republic,Maize,0,0,0.0,0.0
60480,Central African Republic,Rice,0,0,0.0,0.0
60483,Central African Republic,Sesame Seed,0,0,0.0,0.0
60693,Cameroon,Banana,0,17,0.0,4.336734693877551
60701,Cameroon,Beans (mixed),0,14,0.0,2.9166666666666665
60702,Cameroon,Cassava,0,4,0.0,0.89086859688196
60703,Cameroon,Groundnuts (In Shell),0,25,0.0,4.084967320261438
60704,Cameroon,Maize,0,8,0.0,1.1299435028248588
60715,Cameroon,Soybean,0,10,0.0,3.745318352059925
60725,Cameroon,Squash and Melon Seeds,0,0,0.0,0.0
60734,Cameroon,Sweet Potatoes,0,8,0.0,1.7278617710583153
60747,Cameroon,Taro,0,23,0.0,4.291044776119403
60757,Cameroon,Yams,0,5,0.0,1.1210762331838564
60789,Cameroon,Millet,0,8,0.0,4.651162790697675
60860,Cameroon,Okras,0,0,0.0,0.0
60862,Cameroon,Pam Nut,0,8,0.0,2.8268551236749118
60869,Cameroon,Rice,0,4,0.0,1.7543859649122806
60872,Cameroon,Sesame Seed,0,0,0.0,0.0
60939,Cameroon,Melon,0,0,0.0,0.0
60941,Cameroon,Potato,0,0,0.0,0.0
61002,Cameroon,Cowpea,0,0,0.0,0.0
61183,Cameroon,Tomato,0,0,0.0,0.0
61184,Cameroon,Watermelon,0,0,0.0,0.0
61324,Cameroon,Bambara groundnut,0,0,0.0,0.0
62507,Cameroon,Onions,0,0,0.0,0.0
63092,Cameroon,Pineapple,0,0,0.0,0.0
66860,Ethiopia,Barley,1,4,0.09302325581395349,0.37209302325581395
66872,Ethiopia,Beans (White),1,0,0.14347202295552366,0.0
66878,Ethiopia,Chick Peas,0,0,0.0,0.0
66896,Ethiopia,Chili Pepper,1,0,0.28328611898017,0.0
66907,Ethiopia,Fava Bean,2,0,0.18885741265344666,0.0
66925,Ethiopia,Field Peas,0,0,0.0,0.0
66931,Ethiopia,Garlic,0,0,0.0,0.0
66935,Ethiopia,Grass Pea,0,0,0.0,0.0
66936,Ethiopia,Green Peppers,0,0,0.0,0.0
66939,Ethiopia,Hops,0,0,0.0,0.0
66951,Ethiopia,Linseed,1,0,0.14749262536873156,0.0
66963,Ethiopia,Maize,0,4,0.0,0.2783576896311761
66983,Ethiopia,Millet,0,0,0.0,0.0
67003,Ethiopia,Neug,0,0,0.0,0.0
67012,Ethiopia,Onions,0,0,0.0,0.0
67014,Ethiopia,Sesame Seed,0,0,0.0,0.0
67029,Ethiopia,Sorghum,0,0,0.0,0.0
67049,Ethiopia,Teff,0,0,0.0,0.0
67069,Ethiopia,Tomato,0,0,0.0,0.0
67073,Ethiopia,Wheat,0,0,0.0,0.0
67125,Ethiopia,Ethiopian Cabbage,0,0,0.0,0.0
67146,Ethiopia,Fenugreek,0,0,0.0,0.0
67194,Ethiopia,Lentils,0,0,0.0,0.0
67286,Ethiopia,Potato,2,0,0.43859649122807015,0.0
67311,Ethiopia,Soybean,0,0,0.0,0.0
67374,Ethiopia,Cabbage,0,0,0.0,0.0
67834,Ethiopia,Sunflower Seed,0,0,0.0,0.0
67877,Ethiopia,Banana,7,0,1.1363636363636365,0.0
68023,Ethiopia,Rice,0,0,0.0,0.0
68503,Ethiopia,Mung bean,0,0,0.0,0.0
68587,Ethiopia,Coffee,4,0,0.6024096385542169,0.0
68773,Ethiopia,Oats,0,0,0.0,0.0
68793,Ethiopia,Rape,0,0,0.0,0.0
68830,Ethiopia,Sugarcane,0,0,0.0,0.0
